"","Date","Home","Away","Unique_Devices","Starts","Live_Unique_Devices","Live_Starts","VOD_Unique_Devices","VOD_Starts","Life_Play_Time","Attendance","Capacity","Num_Secondary_Transactions","Avg_Markup","season_tickets","group_tickets","single_game_tickets","total_ns_tickets","NAT.TV","NAT_dur","NAT_ratings","NAT_avg_viewers","NAT_avg_household","CN.TV","CN.TV2","DAY","DAY2","ET","ET2","Month","A_DUR","A_HH.RTG","A_HH.SHR","A_HH.IMP","H_DUR","H_HH.RTG","H_HH.SHR","H_HH.IMP","dma_home","dma_away","home_gt","away_gt","home_gt_q","away_gt_q","home_gt_lag","away_gt_lag","home_gt_lagq","away_gt_lagq","gt_tot","gtlag_tot","gt2_tot","gtq_tot","gtlagq_tot","gt2q_tot","Home_Followers_Facebook","Home_Followers_Twitter","Home_Followers_Instagram","Home_Followers_Snapchat","Home_Followers_Weibo","Home_Engagements_Facebook","Home_Engagements_Twitter","Home_Engagements_Instagram","Home_Impressions_Facebook","Home_Impressions_Twitter","Away_Followers_Facebook","Away_Followers_Twitter","Away_Followers_Instagram","Away_Followers_Snapchat","Away_Followers_Weibo","Away_Engagements_Facebook","Away_Engagements_Twitter","Away_Engagements_Instagram","Away_Impressions_Facebook","Away_Impressions_Twitter","fbf_tot","twf_tot","igf_tot","scf_tot","wbf_tot","fbe_tot","twe_tot","ige_tot","fbi_tot","twi_tot","sellout","dma_tot"
"1","2018-04-11","BOS","BRK",7049,16144,5959,14367,1225,1777,208799.99,18624,18624,1192,"16.00%",14444,1284,1336,17064,"none",NA,NA,NA,NA,"none","none","Wed","Weekday","8:00 PM","Late","4",135,0.1,0,6,135,1.8,3,43,2.42,7.35,2.85714285714286,2.85714285714286,3.17460317460317,1.58730158730159,5.16666666666667,4.13333333333333,5.74074074074074,2.2962962962963,5.71428571428571,9.3,15.0142857142857,4.76190476190476,8.03703703703703,12.7989417989418,9000402,3248218,2510041,195676,828928,13191480,8142929,29167899,126956675,91206435,2729529,893179,787439,76638,2175337,295973,511285,911436,5330332,9189433,11729931,4141397,3297480,272314,3004265,13487453,8654214,30079335,127252648,100395868,1,9.77
"2","2018-04-11","CHI","DET",2310,4498,1891,3843,463,655,63257.23,21342,20917,87,"-40.80%",9495,5199,4516,19210,"none",NA,NA,NA,NA,"none","none","Wed","Weekday","7:00 PM","7:00 PM","4",135,0.8,1,14,135,0.7,1,22,3.46,1.85,26.6666666666667,4.76190476190476,14.8148148148148,1.7636684303351,40.3,5.16666666666667,22.3888888888889,1.91358024691358,31.4285714285714,45.4666666666667,76.8952380952381,16.5784832451499,24.3024691358025,40.8809523809524,18299776,4116376,3515387,264202,1753769,9998551,1501055,2465613,85704563,25945575,1815727,859572,705620,60541,1015027,1405673,457836,992964,10207681,8348707,20115503,4975948,4221007,324743,2768796,11404224,1958891,3458577,87110236,34294282,1.02031840130038,5.31
"3","2018-04-11","CLE","NYK",21928,52029,20162,49025,2063,3004,706188.42,20562,20562,94,"10.20%",15063,2757,1311,19131,"none",NA,NA,NA,NA,"none","none","Wed","Weekday","8:00 PM","Late","4",135,0.6,1,44,135,8.4,13,121,1.5,7.35,7.36842105263158,6.66666666666667,3.63304093567251,3.07692307692308,6.88888888888889,7.23333333333333,3.3966049382716,3.33846153846154,14.0350877192982,14.1222222222222,28.1573099415205,6.70996401259559,6.73506647673314,13.4450304893287,8731609,3219609,6260452,487466,3384848,19299172,18709991,69543217,190008684,142146150,6001908,2088947,1707865,81479,1694712,1858432,1441278,4614649,21275917,13818794,14733517,5308556,7968317,568945,5079560,21157604,20151269,74157866,191867116,155964944,1,8.85
"4","2018-04-11","LAC","LAL",11848,24483,10837,22609,1186,1874,508550.06,19068,19068,16,"59.50%",11261,2281,1941,15483,"none",NA,NA,NA,NA,"TSN","TSN","Wed","Weekday","7:30 PM","7:30 PM","4",135,1.3,2,71,135,0.3,0,13,5.48,5.48,52,17.1428571428571,13,3.42857142857143,22.7333333333333,10.3333333333333,5.68333333333333,2.06666666666667,69.1428571428571,33.0666666666667,102.209523809524,16.4285714285714,7.75,24.1785714285714,3849568,1375961,1860111,109432,2853823,815563,599064,1972376,10950766,8410026,21468929,7446076,4548982,250270,2926855,13206306,7141653,6274200,123988643,77794231,25318497,8822037,6409093,359702,5780678,14021869,7740717,8246576,24157072,86204257,1,10.96
"5","2018-04-11","MIA","TOR",14877,41430,13844,39426,1266,2004,482860.57,19600,19600,1204,"8.40%",13312,3587,1200,18099,"none",NA,NA,NA,NA,"TSN","TSN","Wed","Weekday","8:00 PM","Late","4",NA,NA,NA,NA,180,4.1,7,68,1.7,2.86,6.66666666666667,45,2.58771929824561,1.98529411764706,15.5,25.8333333333333,6.01644736842105,1.13970588235294,51.6666666666667,41.3333333333333,93,4.57301341589267,7.15615325077399,11.7291666666667,15691335,4722872,2959140,146890,2259615,11883099,3918574,12165232,94293640,49350875,2278766,1706502,1349163,96645,4022099,4502452,9265825,16530766,27042812,56559810,17970101,6429374,4308303,243535,6281714,16385551,13184399,28695998,98796092,105910685,1,4.56
"6","2018-04-11","MIN","DEN",63512,204566,61217,199822,2815,4744,2831260.93,18978,18978,NA,"",8234,4900,2630,15764,"none",180,0.65,380,300,"none","none","Wed","Weekday","7:00 PM","7:00 PM","4",165,3.5,7,55,180,7.5,13,130,1.74,1.63,4.28571428571429,10.4761904761905,2.67857142857143,3.74149659863946,5.9047619047619,8.26666666666667,3.69047619047619,2.95238095238095,14.7619047619048,14.1714285714286,28.9333333333333,6.42006802721088,6.64285714285714,13.062925170068,1902174,877382,1057987,55514,2841348,2833829,4564426,4355669,24461205,39379967,2005240,802676,623844,33728,915997,2965947,1349501,1891151,21026270,14446933,3907414,1680058,1681831,89242,3757345,5799776,5913927,6246820,27427152,53826900,1,3.37
"7","2018-04-11","NOP","SAS",10420,25418,9519,23935,996,1483,339902.34,18573,16903,632,"33.20%",10262,3168,2519,15949,"none",NA,NA,NA,NA,"none","none","Wed","Weekday","7:00 PM","7:00 PM","4",135,6.8,11,63,150,3.46,4.9,22.1,0.64,0.94,21.4285714285714,80,3.57142857142857,4.11924119241192,25.0952380952381,31,4.18253968253968,1.59620596205962,101.428571428571,56.0952380952381,157.52380952381,7.6906697638405,5.7787456445993,13.4694154084398,1735803,827357,912164,44434,893001,2574074,4103868,4216470,23121622,33782844,7199625,3360317,2114759,160498,2445541,10371617,5903099,13725839,106220951,66435596,8935428,4187674,3026923,204932,3338542,12945691,10006967,17942309,33493239,100218440,1.09879902975803,1.58
"8","2018-04-11","OKC","MEM",15342,44885,13940,42082,1675,2803,509218.9,18203,18203,863,"8.50%",14610,1661,607,16878,"none",NA,NA,NA,NA,"none","none","Wed","Weekday","7:00 PM","7:00 PM","4",120,0.5625,1,3.75,150,11.43,16.9,80.8,0.72,0.63,12.3809523809524,5.71428571428571,1.47392290249433,1.48809523809524,16.5333333333333,9.3,1.96825396825397,2.421875,18.0952380952381,25.8333333333333,43.9285714285714,2.96201814058957,4.39012896825397,7.35214710884354,7249160,2620866,3391866,202895,1712578,6740611,5644063,23893602,56206461,46825722,1835036,935473,572556,43076,498356,395616,732943,582063,4703414,10108773,9084196,3556339,3964422,245971,2210934,7136227,6377006,24475665,56602077,56934495,1,1.35
"9","2018-04-11","ORL","WAS",4021,9215,3673,8705,374,510,116259.46,17598,18846,288,"-11.50%",6088,4080,3324,13492,"none",NA,NA,NA,NA,"none","none","Wed","Weekday","8:00 PM","Late","4",150,1.7,3,44,165,0.2,0,3,1.52,2.48,13.3333333333333,90,1.23809523809524,2.11764705882353,23.8461538461538,113.666666666667,2.21428571428571,2.67450980392157,103.333333333333,137.51282051282,240.846153846154,3.35574229691877,4.88879551820728,8.24453781512605,2787417,1596383,658096,27315,1507538,3130150,672604,913620,17410946,5072428,1542015,864431,849168,56612,504495,1517054,1757371,4105878,14286775,21669255,4329432,2460814,1507264,83927,2012033,4647204,2429975,5019498,18928000,26741683,0.933779051257561,4
"10","2018-04-11","PHI","MIL",1323,2076,84,119,1239,1957,44965.94,20659,20478,NA,"",15383,1780,784,17947,"ESPN",155,0.9,1039,816,"none","none","Wed","Weekday","8:00 PM","Late","4",150,1.8,3,16,150,2.5,4,71,2.94,0.9,71.1111111111111,36,6.51851851851852,8,42.9230769230769,49.3181818181818,3.93461538461538,10.959595959596,107.111111111111,92.2412587412587,199.35236985237,14.5185185185185,14.8942113442113,29.4127298627299,1692849,1522523,1095611,65468,1236429,8220478,13436782,13035076,51884208,88333894,1645806,894310,988621,98816,2954787,6571866,5279731,8060318,32070951,44155513,3338655,2416833,2084232,164284,4191216,14792344,18716513,21095394,58456074,132489407,1.00883875378455,3.84
