"Live_Starts","Attendance","Capacity","sellout","Num_Secondary_Transactions","Avg_Markup","season_tickets","group_tickets","single_game_tickets","gt_tot","gt2_tot","gtq_tot","gt2q_tot","dma_tot","fbf_tot","twf_tot","igf_tot","scf_tot","wbf_tot","fbe_tot","twe_tot","ige_tot","fbi_tot","twi_tot","ET2_7:30 PM","ET2_Afternoon","ET2_Late","ET2_Noon","DAY2_Sat","DAY2_Sun","DAY2_Weekday","NAT.TV_ESPN","NAT.TV_NBA TV","NAT.TV_none","NAT.TV_TNT","CN.TV2_none","CN.TV2_SN","CN.TV2_TSN","CN.TV2_TSN2","ID"
14367,18624,18624,1,1192,0.16,14444,1284,1336,5.71428571428571,15.0142857142857,4.76190476190476,12.7989417989418,9.77,11729931,4141397,3297480,272314,3004265,13487453,8654214,30079335,127252648,100395868,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
3843,21342,20917,1.02031840130038,87,-0.41,9495,5199,4516,31.4285714285714,76.8952380952381,16.5784832451499,40.8809523809524,5.31,20115503,4975948,4221007,324743,2768796,11404224,1958891,3458577,87110236,34294282,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2
49025,20562,20562,1,94,0.1,15063,2757,1311,14.0350877192982,28.1573099415205,6.70996401259559,13.4450304893287,8.85,14733517,5308556,7968317,568945,5079560,21157604,20151269,74157866,191867116,155964944,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,3
22609,19068,19068,1,16,0.6,11261,2281,1941,69.1428571428571,102.209523809524,16.4285714285714,24.1785714285714,10.96,25318497,8822037,6409093,359702,5780678,14021869,7740717,8246576,24157072,86204257,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,4
39426,19600,19600,1,1204,0.08,13312,3587,1200,51.6666666666667,93,4.57301341589267,11.7291666666667,4.56,17970101,6429374,4308303,243535,6281714,16385551,13184399,28695998,98796092,105910685,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,5
23935,18573,16903,1.09879902975803,632,0.33,10262,3168,2519,101.428571428571,157.52380952381,7.6906697638405,13.4694154084398,1.58,8935428,4187674,3026923,204932,3338542,12945691,10006967,17942309,33493239,100218440,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,6
42082,18203,18203,1,863,0.09,14610,1661,607,18.0952380952381,43.9285714285714,2.96201814058957,7.35214710884354,1.35,9084196,3556339,3964422,245971,2210934,7136227,6377006,24475665,56602077,56934495,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,7
8705,17598,18846,0.933779051257561,288,-0.12,6088,4080,3324,103.333333333333,240.846153846154,3.35574229691877,8.24453781512605,4,4329432,2460814,1507264,83927,2012033,4647204,2429975,5019498,18928000,26741683,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,8
112,20186,19393,1.0408910431599,673,0.45,12830,3087,2505,118.333333333333,222.404761904762,5.86913580246914,11.9936860670194,2.06,4117689,1979898,1617035,151687,1249046,9206291,9965261,10806734,31702792,85469705,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9
12507,17583,17583,1,518,-0.14,9907,1871,2823,33.015873015873,91.6774114774115,5.77727387251197,13.8206194158575,3.83,15062096,3595438,3103042,216045,4332371,16731858,8311005,18854572,38756644,72578501,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,10
