Category: All categories

Region,Miami Heat: (1/10/17 - 1/5/18),Sacramento Kings: (1/10/17 - 1/5/18),Denver Nuggets: (1/10/17 - 1/5/18)
Colorado,4%,1%,95%
Florida,97%,1%,2%
Wyoming,14%,3%,83%
California,18%,70%,12%
Georgia,69%,14%,17%
Nevada,37%,43%,20%
South Carolina,69%,12%,19%
North Carolina,67%,15%,18%
Mississippi,68%,15%,17%
New Mexico,31%,13%,56%
District of Columbia,57%,21%,22%
South Dakota,38%,14%,48%
New Jersey,60%,19%,21%
Pennsylvania,62%,18%,20%
Rhode Island,66%,15%,19%
Delaware,62%,20%,18%
New York,58%,18%,24%
Nebraska,35%,13%,52%
Maryland,63%,14%,23%
Virginia,60%,20%,20%
Hawaii,52%,26%,22%
Alabama,63%,19%,18%
Montana,33%,16%,51%
Utah,29%,25%,46%
Connecticut,60%,20%,20%
Louisiana,60%,18%,22%
Tennessee,60%,19%,21%
Ohio,52%,25%,23%
Indiana,53%,20%,27%
Massachusetts,52%,23%,25%
Kentucky,51%,27%,22%
Arkansas,55%,17%,28%
West Virginia,66%,14%,20%
Texas,49%,19%,32%
Illinois,49%,22%,29%
Oklahoma,41%,27%,32%
Missouri,52%,24%,24%
Kansas,38%,33%,29%
Michigan,55%,21%,24%
Wisconsin,51%,20%,29%
New Hampshire,49%,23%,28%
North Dakota,41%,25%,34%
Iowa,45%,17%,38%
Arizona,43%,27%,30%
Minnesota,36%,21%,43%
Maine,56%,20%,24%
Idaho,41%,26%,33%
Oregon,36%,33%,31%
Alaska,44%,27%,29%
Vermont,52%,23%,25%
Washington,45%,29%,26%
