Category: All categories

Region,Miami Heat: (1/10/17 - 1/5/18),New York Knicks: (1/10/17 - 1/5/18),Philadelphia 76ers: (1/10/17 - 1/5/18)
Pennsylvania,3%,5%,92%
Delaware,3%,8%,89%
New York,6%,83%,11%
Florida,81%,10%,9%
New Jersey,5%,39%,56%
Connecticut,11%,68%,21%
District of Columbia,13%,25%,62%
Maryland,17%,28%,55%
Virginia,20%,28%,52%
Rhode Island,25%,35%,40%
Massachusetts,20%,37%,43%
Vermont,14%,46%,40%
South Carolina,30%,33%,37%
West Virginia,28%,19%,53%
Maine,19%,33%,48%
North Carolina,30%,35%,35%
Georgia,35%,33%,32%
Nevada,33%,28%,39%
Ohio,28%,27%,45%
Hawaii,32%,28%,40%
Mississippi,40%,24%,36%
California,28%,28%,44%
Indiana,31%,26%,43%
New Hampshire,24%,33%,43%
South Dakota,37%,19%,44%
Kansas,25%,39%,36%
Arizona,25%,31%,44%
Illinois,30%,29%,41%
Tennessee,34%,26%,40%
Louisiana,35%,25%,40%
Alabama,37%,26%,37%
Alaska,31%,19%,50%
Colorado,29%,29%,42%
Iowa,29%,29%,42%
Texas,34%,28%,38%
North Dakota,30%,28%,42%
New Mexico,31%,30%,39%
Kentucky,36%,27%,37%
Michigan,32%,28%,40%
Arkansas,40%,22%,38%
Wisconsin,32%,29%,39%
Nebraska,33%,30%,37%
Utah,29%,32%,39%
Missouri,34%,27%,39%
Washington,30%,26%,44%
Montana,35%,23%,42%
Oklahoma,32%,34%,34%
Oregon,31%,30%,39%
Idaho,35%,26%,39%
Minnesota,31%,28%,41%
Wyoming,39%,20%,41%
