Category: All categories

Region,Miami Heat: (1/10/17 - 1/5/18),Houston Rockets: (1/10/17 - 1/5/18),Oklahoma City Thunder: (1/10/17 - 1/5/18)
Oklahoma,1%,3%,96%
Texas,3%,80%,17%
Florida,82%,7%,11%
Arkansas,10%,25%,65%
Kansas,10%,19%,71%
Utah,9%,35%,56%
Missouri,12%,23%,65%
Mississippi,18%,33%,49%
Louisiana,13%,49%,38%
South Dakota,17%,28%,55%
Alabama,18%,32%,50%
Nebraska,15%,28%,57%
New Mexico,14%,33%,53%
Georgia,25%,29%,46%
Delaware,23%,26%,51%
Iowa,14%,28%,58%
South Carolina,25%,28%,47%
New York,21%,31%,48%
Indiana,18%,29%,53%
Nevada,22%,33%,45%
Montana,15%,26%,59%
North Carolina,25%,28%,47%
Ohio,17%,33%,50%
Maryland,22%,31%,47%
Tennessee,19%,31%,50%
New Jersey,23%,31%,46%
Alaska,13%,33%,54%
North Dakota,15%,30%,55%
Illinois,17%,34%,49%
Hawaii,22%,30%,48%
Colorado,15%,34%,51%
Kentucky,20%,30%,50%
California,16%,41%,43%
Arizona,15%,34%,51%
Connecticut,21%,31%,48%
Idaho,16%,31%,53%
Virginia,23%,32%,45%
Pennsylvania,26%,30%,44%
Wyoming,15%,36%,49%
Wisconsin,17%,32%,51%
Michigan,18%,32%,50%
District of Columbia,26%,33%,41%
West Virginia,21%,32%,47%
Washington,15%,33%,52%
Minnesota,14%,38%,48%
Rhode Island,27%,32%,41%
Maine,17%,30%,53%
Massachusetts,21%,36%,43%
Vermont,18%,31%,51%
Oregon,17%,37%,46%
New Hampshire,21%,34%,45%
