Category: All categories

Region,Miami Heat: (1/10/17 - 1/5/18),San Antonio Spurs: (1/10/17 - 1/5/18),Los Angeles Lakers: (1/10/17 - 1/5/18)
California,3%,6%,91%
Florida,81%,5%,14%
Texas,4%,77%,19%
Nevada,8%,14%,78%
Hawaii,8%,13%,79%
New Mexico,7%,32%,61%
Arizona,9%,17%,74%
Mississippi,16%,23%,61%
Idaho,10%,17%,73%
Alaska,9%,22%,69%
Utah,10%,27%,63%
District of Columbia,19%,21%,60%
Oregon,11%,20%,69%
Alabama,18%,22%,60%
South Dakota,16%,24%,60%
Louisiana,15%,28%,57%
Georgia,24%,20%,56%
Wyoming,13%,18%,69%
Washington,11%,20%,69%
Maryland,20%,21%,59%
South Carolina,24%,18%,58%
Nebraska,14%,24%,62%
Arkansas,15%,25%,60%
Rhode Island,22%,17%,61%
Virginia,20%,20%,60%
North Carolina,23%,19%,58%
Iowa,13%,19%,68%
New Jersey,22%,20%,58%
Oklahoma,12%,37%,51%
Montana,14%,21%,65%
Connecticut,20%,18%,62%
Tennessee,19%,22%,59%
Massachusetts,18%,19%,63%
Illinois,17%,23%,60%
New York,22%,23%,55%
North Dakota,14%,24%,62%
Ohio,18%,22%,60%
Delaware,23%,21%,56%
Colorado,13%,26%,61%
Indiana,19%,20%,61%
Pennsylvania,25%,19%,56%
West Virginia,20%,17%,63%
Missouri,17%,23%,60%
Kansas,18%,22%,60%
Kentucky,21%,19%,60%
Maine,17%,19%,64%
Michigan,18%,22%,60%
Wisconsin,18%,24%,58%
New Hampshire,19%,21%,60%
Minnesota,15%,27%,58%
Vermont,20%,19%,61%
