Category: All categories

Region,Miami Heat: (1/10/17 - 1/5/18),Boston Celtics: (1/10/17 - 1/5/18),Golden State Warriors: (1/10/17 - 1/5/18)
Massachusetts,1%,94%,5%
New Hampshire,1%,95%,4%
Maine,1%,93%,6%
Rhode Island,2%,90%,8%
Vermont,2%,88%,10%
California,2%,12%,86%
Connecticut,5%,77%,18%
Florida,65%,18%,17%
Nevada,8%,24%,68%
Hawaii,7%,31%,62%
Mississippi,10%,33%,57%
Louisiana,9%,31%,60%
New Mexico,7%,37%,56%
Alabama,10%,33%,57%
Georgia,13%,34%,53%
Arkansas,9%,31%,60%
New York,10%,49%,41%
Oklahoma,8%,28%,64%
Arizona,7%,32%,61%
Utah,7%,34%,59%
Idaho,7%,30%,63%
Ohio,8%,48%,44%
Oregon,8%,26%,66%
Alaska,6%,37%,57%
Texas,9%,31%,60%
South Dakota,10%,37%,53%
North Carolina,13%,39%,48%
District of Columbia,12%,47%,41%
Washington,7%,28%,65%
South Carolina,13%,43%,44%
Illinois,9%,35%,56%
Montana,8%,38%,54%
Tennessee,11%,37%,52%
Maryland,12%,40%,48%
New Jersey,12%,44%,44%
Nebraska,9%,41%,50%
Delaware,13%,44%,43%
Wyoming,8%,39%,53%
Virginia,12%,45%,43%
Indiana,11%,38%,51%
Iowa,8%,40%,52%
Michigan,10%,34%,56%
Pennsylvania,13%,45%,42%
Missouri,10%,37%,53%
North Dakota,9%,37%,54%
Colorado,9%,35%,56%
Kentucky,11%,40%,49%
Wisconsin,9%,42%,49%
West Virginia,11%,45%,44%
Kansas,12%,37%,51%
Minnesota,9%,35%,56%
