Category: All categories

Region,Miami Heat: (1/10/17 - 1/5/18),Cleveland Cavaliers: (1/10/17 - 1/5/18)
Ohio,1%,99%
Florida,64%,36%
Mississippi,9%,91%
Georgia,12%,88%
Alabama,9%,91%
South Carolina,12%,88%
West Virginia,8%,92%
Pennsylvania,11%,89%
Louisiana,9%,91%
Indiana,8%,92%
North Carolina,12%,88%
Arkansas,8%,92%
Michigan,7%,93%
Kentucky,9%,91%
Tennessee,10%,90%
Maryland,12%,88%
New York,12%,88%
Delaware,13%,87%
Illinois,9%,91%
New Jersey,14%,86%
Virginia,12%,88%
District of Columbia,14%,86%
Hawaii,13%,87%
Nevada,15%,85%
Massachusetts,11%,89%
Texas,10%,90%
Rhode Island,15%,85%
Missouri,10%,90%
Connecticut,13%,87%
South Dakota,13%,87%
Nebraska,11%,89%
Arizona,9%,91%
Iowa,9%,91%
California,11%,89%
New Mexico,11%,89%
North Dakota,10%,90%
Wisconsin,10%,90%
Utah,11%,89%
Maine,11%,89%
Wyoming,11%,89%
Alaska,11%,89%
Colorado,11%,89%
Oklahoma,13%,87%
Minnesota,10%,90%
Washington,10%,90%
New Hampshire,12%,88%
Kansas,14%,86%
Vermont,12%,88%
Montana,13%,87%
Idaho,13%,87%
Oregon,14%,86%
