Category: All categories

Region,Miami Heat: (1/10/17 - 1/5/18),Atlanta Hawks: (1/10/17 - 1/5/18),New Orleans Pelicans: (1/10/17 - 1/5/18)
Louisiana,3%,1%,96%
Florida,95%,2%,3%
Georgia,16%,76%,8%
Mississippi,21%,9%,70%
Alabama,25%,44%,31%
South Carolina,49%,24%,27%
North Carolina,53%,19%,28%
Nevada,53%,16%,31%
District of Columbia,52%,19%,29%
New Jersey,57%,17%,26%
Pennsylvania,59%,16%,25%
Rhode Island,59%,13%,28%
Delaware,58%,15%,27%
Texas,36%,12%,52%
New York,55%,18%,27%
Maryland,56%,17%,27%
Virginia,56%,17%,27%
Kentucky,38%,15%,47%
Hawaii,58%,16%,26%
Connecticut,54%,19%,27%
South Dakota,56%,14%,30%
Tennessee,39%,32%,29%
Utah,34%,17%,49%
Ohio,47%,20%,33%
Indiana,46%,19%,35%
Massachusetts,44%,22%,34%
Arkansas,51%,15%,34%
Oregon,35%,16%,49%
West Virginia,56%,17%,27%
Oklahoma,41%,14%,45%
Illinois,35%,36%,29%
California,45%,15%,40%
Nebraska,47%,19%,34%
Missouri,50%,20%,30%
Kansas,55%,15%,30%
New Mexico,48%,11%,41%
Michigan,51%,19%,30%
Wisconsin,44%,24%,32%
Montana,52%,18%,30%
New Hampshire,47%,23%,30%
Wyoming,54%,7%,39%
North Dakota,57%,16%,27%
Iowa,42%,25%,33%
Arizona,48%,18%,34%
Colorado,46%,15%,39%
Maine,39%,25%,36%
Idaho,51%,21%,28%
Alaska,46%,13%,41%
Vermont,47%,18%,35%
Washington,41%,25%,34%
Minnesota,40%,19%,41%
