Category: All categories

Region,Miami Heat: (1/10/17 - 1/5/18),Dallas Mavericks: (1/10/17 - 1/5/18),Charlotte Hornets: (1/10/17 - 1/5/18)
Florida,96%,2%,2%
North Carolina,15%,5%,80%
Texas,12%,83%,5%
South Carolina,30%,7%,63%
Georgia,59%,15%,26%
Mississippi,48%,36%,16%
Nevada,56%,27%,17%
District of Columbia,58%,23%,19%
New Jersey,61%,21%,18%
Pennsylvania,61%,20%,19%
Rhode Island,63%,17%,20%
Delaware,61%,17%,22%
New York,57%,23%,20%
Maryland,59%,19%,22%
Virginia,52%,19%,29%
Oklahoma,34%,50%,16%
Hawaii,56%,27%,17%
Alabama,54%,21%,25%
Connecticut,53%,23%,24%
South Dakota,57%,34%,9%
Arkansas,37%,40%,23%
Louisiana,48%,32%,20%
Tennessee,51%,20%,29%
Ohio,54%,22%,24%
Indiana,52%,26%,22%
Massachusetts,47%,26%,27%
Kentucky,56%,21%,23%
West Virginia,48%,17%,35%
Missouri,39%,44%,17%
Illinois,49%,29%,22%
California,48%,34%,18%
Nebraska,46%,39%,15%
Kansas,45%,42%,13%
New Mexico,47%,39%,14%
Michigan,52%,25%,23%
Wisconsin,47%,24%,29%
Montana,46%,24%,30%
New Hampshire,46%,32%,22%
Wyoming,58%,27%,15%
Utah,42%,38%,20%
North Dakota,48%,28%,24%
Iowa,46%,33%,21%
Arizona,49%,33%,18%
Colorado,49%,35%,16%
Maine,48%,22%,30%
Idaho,51%,31%,18%
Oregon,47%,32%,21%
Alaska,59%,29%,12%
Vermont,48%,26%,26%
Washington,52%,31%,17%
Minnesota,43%,36%,21%
