Category: All categories

Region,Miami Heat: (1/10/17 - 1/5/18),Indiana Pacers: (1/10/17 - 1/5/18),Phoenix Suns: (1/10/17 - 1/5/18)
Indiana,3%,96%,1%
Arizona,4%,3%,93%
Florida,93%,5%,2%
Kentucky,23%,62%,15%
Illinois,25%,59%,16%
Ohio,28%,57%,15%
Georgia,53%,33%,14%
South Carolina,54%,31%,15%
New Mexico,27%,21%,52%
North Carolina,53%,31%,16%
Mississippi,51%,31%,18%
Nevada,40%,26%,34%
District of Columbia,46%,31%,23%
New Jersey,49%,32%,19%
Pennsylvania,50%,32%,18%
Rhode Island,54%,28%,18%
Delaware,50%,33%,17%
New York,49%,30%,21%
Maryland,49%,33%,18%
Virginia,48%,32%,20%
Hawaii,45%,27%,28%
Alabama,45%,39%,16%
Utah,29%,26%,45%
Connecticut,46%,31%,23%
South Dakota,42%,26%,32%
Louisiana,47%,32%,21%
Tennessee,42%,38%,20%
Massachusetts,41%,35%,24%
Arkansas,45%,34%,21%
Maine,34%,46%,20%
West Virginia,48%,37%,15%
Texas,42%,32%,26%
Michigan,37%,42%,21%
California,35%,31%,34%
Nebraska,38%,35%,27%
Oklahoma,36%,34%,30%
Wisconsin,35%,39%,26%
Oregon,33%,25%,42%
Iowa,33%,38%,29%
Missouri,38%,38%,24%
Kansas,43%,31%,26%
Idaho,36%,23%,41%
Vermont,39%,46%,15%
Montana,40%,31%,29%
New Hampshire,41%,37%,22%
Wyoming,46%,28%,26%
Alaska,33%,31%,36%
North Dakota,37%,35%,28%
Colorado,37%,31%,32%
Washington,36%,33%,31%
Minnesota,35%,37%,28%
