Category: All categories

Region,Miami Heat: (1/10/17 - 1/5/18),Portland Trail Blazers: (1/10/17 - 1/5/18),Utah Jazz: (1/10/17 - 1/5/18)
Utah,<1%,2%,98%
Oregon,1%,96%,3%
Florida,95%,2%,3%
Idaho,5%,16%,79%
Wyoming,8%,5%,87%
Washington,8%,82%,10%
Montana,14%,29%,57%
Nevada,29%,24%,47%
Oklahoma,25%,20%,55%
Alaska,19%,52%,29%
Georgia,60%,17%,23%
South Carolina,59%,20%,21%
North Carolina,59%,20%,21%
Mississippi,54%,17%,29%
District of Columbia,51%,22%,27%
New Jersey,54%,20%,26%
Pennsylvania,56%,20%,24%
Rhode Island,54%,22%,24%
Kentucky,35%,16%,49%
Delaware,54%,22%,24%
New York,51%,22%,27%
Hawaii,32%,35%,33%
Maryland,53%,22%,25%
Virginia,55%,20%,25%
Alabama,51%,24%,25%
Arizona,26%,30%,44%
California,31%,29%,40%
Connecticut,48%,23%,29%
South Dakota,41%,22%,37%
New Mexico,34%,22%,44%
Louisiana,39%,31%,30%
Tennessee,52%,20%,28%
North Dakota,30%,28%,42%
Colorado,31%,26%,43%
Ohio,47%,23%,30%
Indiana,43%,27%,30%
Massachusetts,44%,27%,29%
Arkansas,47%,20%,33%
West Virginia,53%,19%,28%
Texas,42%,23%,35%
Illinois,42%,26%,32%
Minnesota,30%,24%,46%
Nebraska,42%,25%,33%
Missouri,42%,23%,35%
Kansas,47%,21%,32%
Michigan,47%,23%,30%
Wisconsin,44%,25%,31%
Iowa,37%,25%,38%
New Hampshire,46%,25%,29%
Maine,44%,27%,29%
Vermont,42%,24%,34%
