Category: All categories

Region,Miami Heat: (1/10/17 - 1/5/18),Washington Wizards: (1/10/17 - 1/5/18),Detroit Pistons: (1/10/17 - 1/5/18)
Michigan,3%,2%,95%
District of Columbia,6%,91%,3%
Florida,93%,3%,4%
Maryland,8%,89%,3%
Virginia,13%,81%,6%
Ohio,26%,21%,53%
Delaware,34%,47%,19%
Georgia,53%,24%,23%
West Virginia,30%,51%,19%
South Carolina,53%,27%,20%
North Carolina,49%,30%,21%
Mississippi,52%,24%,24%
Nevada,47%,24%,29%
New Jersey,49%,30%,21%
Pennsylvania,41%,39%,20%
Rhode Island,49%,30%,21%
New York,48%,29%,23%
Hawaii,51%,24%,25%
Alabama,48%,24%,28%
Connecticut,46%,31%,23%
South Dakota,51%,25%,24%
Louisiana,48%,26%,26%
Tennessee,46%,26%,28%
Indiana,37%,25%,38%
Massachusetts,40%,35%,25%
Kentucky,41%,31%,28%
Arkansas,49%,22%,29%
Texas,46%,26%,28%
Illinois,38%,28%,34%
California,42%,28%,30%
Nebraska,45%,30%,25%
Vermont,35%,44%,21%
Oklahoma,40%,27%,33%
Missouri,43%,31%,26%
Kansas,47%,29%,24%
New Mexico,43%,26%,31%
Wisconsin,36%,28%,36%
Montana,40%,28%,32%
New Hampshire,40%,34%,26%
Wyoming,46%,24%,30%
Utah,37%,33%,30%
North Dakota,39%,28%,33%
Iowa,41%,32%,27%
Arizona,38%,26%,36%
Colorado,42%,28%,30%
Maine,36%,32%,32%
Idaho,43%,27%,30%
Oregon,38%,29%,33%
Alaska,38%,24%,38%
Washington,39%,32%,29%
Minnesota,38%,31%,31%
