Category: All categories

Region,Miami Heat: (1/10/17 - 1/5/18),Los Angeles Clippers: (1/10/17 - 1/5/18),Minnesota Timberwolves: (1/10/17 - 1/5/18)
Minnesota,1%,1%,98%
Florida,94%,3%,3%
North Dakota,4%,3%,93%
South Dakota,9%,7%,84%
California,16%,70%,14%
Iowa,14%,11%,75%
Wisconsin,19%,18%,63%
Nebraska,22%,15%,63%
Illinois,24%,17%,59%
Hawaii,32%,48%,20%
Nevada,35%,44%,21%
Georgia,55%,23%,22%
South Carolina,51%,27%,22%
North Carolina,53%,25%,22%
Mississippi,51%,25%,24%
District of Columbia,49%,23%,28%
New Jersey,49%,25%,26%
Pennsylvania,53%,22%,25%
Rhode Island,53%,26%,21%
Delaware,50%,27%,23%
New York,47%,27%,26%
Maryland,49%,26%,25%
Utah,24%,42%,34%
Virginia,52%,24%,24%
Alabama,48%,23%,29%
Montana,33%,19%,48%
Connecticut,46%,27%,27%
Louisiana,45%,29%,26%
Tennessee,48%,25%,27%
Ohio,39%,35%,26%
Indiana,40%,23%,37%
Massachusetts,41%,31%,28%
Kentucky,42%,27%,31%
Arkansas,44%,28%,28%
West Virginia,46%,26%,28%
Arizona,30%,31%,39%
Oklahoma,31%,34%,35%
Texas,39%,30%,31%
Colorado,33%,26%,41%
Oregon,31%,40%,29%
Kansas,37%,25%,38%
Missouri,38%,25%,37%
New Mexico,37%,34%,29%
Michigan,38%,31%,31%
Alaska,32%,29%,39%
Wyoming,41%,17%,42%
New Hampshire,40%,26%,34%
Maine,38%,28%,34%
Idaho,37%,31%,32%
Vermont,42%,22%,36%
Washington,34%,35%,31%
