Category: All categories

Region,Miami Heat: (1/10/17 - 1/5/18),Brooklyn Nets: (1/10/17 - 1/5/18),Milwaukee Bucks: (1/10/17 - 1/5/18)
Wisconsin,1%,1%,98%
Florida,91%,2%,7%
New York,22%,57%,21%
Illinois,20%,9%,71%
New Jersey,24%,53%,23%
Minnesota,16%,8%,76%
Iowa,23%,9%,68%
South Dakota,34%,9%,57%
Pennsylvania,34%,19%,47%
Massachusetts,28%,23%,49%
North Dakota,26%,13%,61%
Georgia,50%,14%,36%
South Carolina,48%,14%,38%
Michigan,29%,15%,56%
Rhode Island,39%,18%,43%
North Carolina,46%,15%,39%
Ohio,31%,22%,47%
Nebraska,32%,12%,56%
Indiana,34%,16%,50%
Mississippi,45%,11%,44%
Maine,26%,20%,54%
Connecticut,29%,37%,34%
Nevada,42%,18%,40%
Arizona,30%,13%,57%
District of Columbia,39%,22%,39%
Montana,33%,7%,60%
Delaware,41%,21%,38%
New Hampshire,29%,19%,52%
Kentucky,38%,12%,50%
Utah,30%,16%,54%
West Virginia,36%,16%,48%
Missouri,34%,13%,53%
Maryland,42%,18%,40%
Virginia,42%,18%,40%
Hawaii,44%,20%,36%
Oklahoma,35%,15%,50%
Colorado,32%,13%,55%
Wyoming,33%,13%,54%
Alabama,44%,13%,43%
Tennessee,41%,14%,45%
Arkansas,40%,13%,47%
California,34%,21%,45%
Vermont,29%,21%,50%
Louisiana,42%,15%,43%
Texas,39%,15%,46%
Alaska,31%,17%,52%
New Mexico,39%,10%,51%
Kansas,37%,15%,48%
Oregon,31%,22%,47%
Washington,33%,19%,48%
Idaho,37%,16%,47%
