Category: All categories

Region,Miami Heat: (1/10/17 - 1/5/18),Toronto Raptors: (1/10/17 - 1/5/18),Chicago Bulls: (1/10/17 - 1/5/18)
Illinois,4%,3%,93%
Florida,90%,4%,6%
Indiana,16%,13%,71%
Iowa,13%,11%,76%
Wisconsin,17%,16%,67%
Nevada,34%,22%,44%
Nebraska,27%,17%,56%
South Dakota,31%,20%,49%
Georgia,47%,21%,32%
South Carolina,44%,21%,35%
Mississippi,39%,20%,41%
Arkansas,32%,18%,50%
North Carolina,46%,21%,33%
New Mexico,28%,20%,52%
Arizona,25%,23%,52%
Missouri,29%,19%,52%
Michigan,27%,25%,48%
North Dakota,28%,17%,55%
Hawaii,32%,36%,32%
Alabama,37%,19%,44%
Ohio,29%,31%,40%
District of Columbia,38%,28%,34%
New Jersey,40%,27%,33%
Pennsylvania,44%,26%,30%
Rhode Island,43%,28%,29%
Delaware,45%,23%,32%
New York,38%,29%,33%
Minnesota,24%,22%,54%
Tennessee,37%,18%,45%
Connecticut,34%,26%,40%
Maryland,40%,28%,32%
Virginia,40%,25%,35%
Kentucky,37%,19%,44%
Kansas,30%,28%,42%
Massachusetts,32%,39%,29%
Oklahoma,31%,27%,42%
California,32%,29%,39%
Utah,27%,32%,41%
Louisiana,39%,23%,38%
Colorado,31%,23%,46%
Montana,34%,20%,46%
Texas,35%,25%,40%
West Virginia,39%,20%,41%
Idaho,34%,18%,48%
Alaska,30%,25%,45%
Wyoming,31%,28%,41%
Vermont,28%,31%,41%
Maine,31%,38%,31%
Oregon,34%,26%,40%
New Hampshire,34%,37%,29%
Washington,32%,29%,39%
