Category: All categories

Region,Miami Heat: (1/10/17 - 1/5/18),Memphis Grizzlies: (1/10/17 - 1/5/18),Orlando Magic: (1/10/17 - 1/5/18)
Florida,79%,1%,20%
Tennessee,12%,85%,3%
Mississippi,25%,70%,5%
Arkansas,21%,74%,5%
Georgia,60%,25%,15%
South Carolina,73%,11%,16%
North Carolina,70%,13%,17%
Nevada,63%,19%,18%
District of Columbia,67%,14%,19%
New Jersey,68%,13%,19%
Pennsylvania,70%,13%,17%
Rhode Island,65%,14%,21%
Delaware,73%,14%,13%
New York,65%,14%,21%
Maryland,69%,13%,18%
Virginia,68%,14%,18%
Hawaii,69%,12%,19%
Utah,32%,53%,15%
Alabama,51%,34%,15%
Connecticut,62%,16%,22%
South Dakota,71%,17%,12%
Louisiana,63%,20%,17%
Ohio,61%,15%,24%
Indiana,58%,20%,22%
Massachusetts,57%,17%,26%
Kentucky,58%,25%,17%
West Virginia,71%,12%,17%
Texas,60%,21%,19%
Illinois,57%,21%,22%
California,60%,21%,19%
Nebraska,61%,20%,19%
Montana,43%,48%,9%
Oklahoma,56%,27%,17%
Missouri,49%,36%,15%
Kansas,60%,22%,18%
New Mexico,66%,18%,16%
Michigan,59%,19%,22%
Wisconsin,58%,20%,22%
New Hampshire,56%,17%,27%
Wyoming,64%,18%,18%
North Dakota,59%,16%,25%
Iowa,61%,18%,21%
Arizona,62%,22%,16%
Colorado,61%,20%,19%
Maine,53%,13%,34%
Idaho,63%,20%,17%
Oregon,51%,29%,20%
Alaska,62%,16%,22%
Vermont,47%,18%,35%
Washington,62%,20%,18%
Minnesota,54%,25%,21%
