Category: All categories

Day,Miami Heat: (United States),Sacramento Kings: (United States),Denver Nuggets: (United States)
2017-10-01,16,5,21
2017-10-02,11,5,5
2017-10-03,10,12,12
2017-10-04,9,6,4
2017-10-05,10,6,9
2017-10-06,12,7,4
2017-10-07,10,10,4
2017-10-08,12,6,5
2017-10-09,8,11,5
2017-10-10,12,9,5
2017-10-11,10,5,8
2017-10-12,13,6,5
2017-10-13,11,7,4
2017-10-14,17,10,5
2017-10-15,11,7,4
2017-10-16,11,6,5
2017-10-17,12,6,8
2017-10-18,20,11,9
2017-10-19,20,25,13
2017-10-20,11,9,6
2017-10-21,16,16,8
2017-10-22,23,12,13
2017-10-23,16,8,8
2017-10-24,21,12,12
2017-10-25,16,7,7
2017-10-26,22,9,7
2017-10-27,11,20,6
2017-10-28,14,7,7
2017-10-29,20,8,6
2017-10-30,13,7,9
2017-10-31,18,8,8
2017-11-01,14,10,6
2017-11-02,16,10,8
2017-11-03,12,6,6
2017-11-04,20,8,17
2017-11-05,17,8,16
2017-11-06,16,6,6
2017-11-07,23,7,6
2017-11-08,12,17,8
2017-11-09,17,9,8
2017-11-10,11,17,18
2017-11-11,17,9,8
2017-11-12,18,12,11
2017-11-13,9,7,6
2017-11-14,12,8,10
2017-11-15,13,8,5
2017-11-16,17,8,6
2017-11-17,10,7,7
2017-11-18,16,11,17
2017-11-19,15,9,7
2017-11-20,13,6,15
2017-11-21,10,9,10
2017-11-22,15,8,7
2017-11-23,42,31,10
2017-11-24,12,7,5
2017-11-25,19,8,9
2017-11-26,17,14,6
2017-11-27,12,8,5
2017-11-28,15,19,6
2017-11-29,25,12,9
2017-11-30,15,5,7
2017-12-01,12,5,10
2017-12-02,19,9,8
2017-12-03,14,7,16
2017-12-04,19,4,6
2017-12-05,9,6,6
2017-12-06,9,7,5
2017-12-07,14,15,6
2017-12-08,8,7,5
2017-12-09,11,9,8
2017-12-10,14,10,6
2017-12-11,9,6,6
2017-12-12,15,7,5
2017-12-13,12,10,10
2017-12-14,15,6,10
2017-12-15,11,7,7
2017-12-16,17,6,12
2017-12-17,21,8,6
2017-12-18,11,5,6
2017-12-19,16,7,7
2017-12-20,10,10,6
2017-12-21,24,9,9
2017-12-22,14,7,6
2017-12-23,23,7,11
2017-12-24,17,11,16
2017-12-25,14,5,7
2017-12-26,13,6,8
2017-12-27,20,11,11
2017-12-28,14,21,10
2017-12-29,15,9,6
2017-12-30,21,11,7
2017-12-31,18,6,11
2018-01-01,9,6,4
2018-01-02,11,6,5
2018-01-03,14,9,6
2018-01-04,20,6,10
2018-01-05,13,5,7
2018-01-06,26,7,12
2018-01-07,22,10,9
2018-01-08,14,6,6
2018-01-09,12,10,12
2018-01-10,31,15,6
2018-01-11,27,8,9
2018-01-12,15,8,6
2018-01-13,17,7,11
2018-01-14,27,6,8
2018-01-15,27,6,5
2018-01-16,15,8,6
2018-01-17,13,6,7
2018-01-18,23,8,11
2018-01-19,16,6,7
2018-01-20,26,9,10
2018-01-21,27,5,5
2018-01-22,16,6,5
2018-01-23,27,7,10
2018-01-24,21,8,5
2018-01-25,20,7,6
2018-01-26,28,10,11
2018-01-27,19,6,7
2018-01-28,28,7,10
2018-01-29,15,8,8
2018-01-30,25,6,16
2018-01-31,21,8,8
2018-02-01,37,6,7
2018-02-02,18,8,25
2018-02-03,30,22,13
2018-02-04,21,10,23
2018-02-05,14,5,7
