Category: All categories

Day,Miami Heat: (United States),New York Knicks: (United States),Philadelphia 76ers: (United States)
2017-10-01,7,8,5
2017-10-02,4,7,4
2017-10-03,4,10,5
2017-10-04,4,12,8
2017-10-05,4,6,10
2017-10-06,5,7,7
2017-10-07,4,9,8
2017-10-08,5,8,4
2017-10-09,3,10,6
2017-10-10,5,9,8
2017-10-11,4,7,7
2017-10-12,6,7,10
2017-10-13,5,7,5
2017-10-14,7,10,10
2017-10-15,5,8,5
2017-10-16,4,7,6
2017-10-17,5,7,6
2017-10-18,8,10,15
2017-10-19,9,16,25
2017-10-20,5,33,14
2017-10-21,7,12,21
2017-10-22,9,14,13
2017-10-23,7,10,9
2017-10-24,9,12,15
2017-10-25,7,14,11
2017-10-26,9,9,14
2017-10-27,5,10,6
2017-10-28,6,16,7
2017-10-29,8,12,13
2017-10-30,5,23,7
2017-10-31,7,22,14
2017-11-01,6,12,9
2017-11-02,7,16,14
2017-11-03,5,11,10
2017-11-04,8,20,17
2017-11-05,7,12,8
2017-11-06,7,25,7
2017-11-07,10,14,8
2017-11-08,5,30,16
2017-11-09,7,19,9
2017-11-10,4,10,16
2017-11-11,7,13,9
2017-11-12,8,26,17
2017-11-13,4,18,6
2017-11-14,5,46,15
2017-11-15,5,14,10
2017-11-16,7,23,33
2017-11-17,4,12,12
2017-11-18,7,16,12
2017-11-19,6,10,34
2017-11-20,5,11,10
2017-11-21,4,19,15
2017-11-22,6,12,10
2017-11-23,17,27,17
2017-11-24,5,14,8
2017-11-25,8,19,9
2017-11-26,7,18,16
2017-11-27,5,10,11
2017-11-28,6,13,20
2017-11-29,11,9,9
2017-11-30,6,17,18
2017-12-01,5,9,15
2017-12-02,8,10,9
2017-12-03,6,15,16
2017-12-04,8,9,9
2017-12-05,4,10,11
2017-12-06,4,8,6
2017-12-07,6,14,11
2017-12-08,3,8,24
2017-12-09,5,10,9
2017-12-10,6,16,17
2017-12-11,4,14,10
2017-12-12,6,10,6
2017-12-13,5,26,14
2017-12-14,6,11,7
2017-12-15,5,18,9
2017-12-16,7,15,25
2017-12-17,9,31,8
2017-12-18,5,12,7
2017-12-19,7,13,12
2017-12-20,4,10,11
2017-12-21,10,13,7
2017-12-22,6,31,11
2017-12-23,9,18,8
2017-12-24,7,10,8
2017-12-25,6,35,24
2017-12-26,6,10,8
2017-12-27,9,10,6
2017-12-28,6,16,6
2017-12-29,6,14,14
2017-12-30,9,9,6
2017-12-31,8,16,10
2018-01-01,4,9,10
2018-01-02,5,10,6
2018-01-03,6,14,7
2018-01-04,8,10,12
2018-01-05,6,8,7
2018-01-06,11,14,14
2018-01-07,9,9,6
2018-01-08,6,13,5
2018-01-09,5,9,5
2018-01-10,13,10,5
2018-01-11,11,16,14
2018-01-12,6,9,7
2018-01-13,7,13,5
2018-01-14,11,15,4
2018-01-15,11,15,11
2018-01-16,6,10,6
2018-01-17,6,8,5
2018-01-18,10,11,6
2018-01-19,7,9,14
2018-01-20,11,18,8
2018-01-21,11,15,13
2018-01-22,7,10,7
2018-01-23,11,10,9
2018-01-24,9,15,6
2018-01-25,8,9,10
2018-01-26,12,13,6
2018-01-27,8,15,13
2018-01-28,12,10,10
2018-01-29,6,10,13
2018-01-30,10,12,9
2018-01-31,9,15,6
2018-02-01,16,16,10
2018-02-02,8,10,7
2018-02-03,12,14,13
2018-02-04,9,14,8
2018-02-05,6,8,6
2018-02-06,10,10,7
2018-02-07,8,22,12
2018-02-08,26,23,10
2018-02-09,25,16,8
2018-02-10,37,11,14
2018-02-11,13,13,14
2018-02-12,9,12,8
2018-02-13,9,11,14
2018-02-14,12,8,7
2018-02-15,11,11,14
2018-02-16,6,6,6
2018-02-17,6,6,5
2018-02-18,6,6,4
2018-02-19,5,6,5
2018-02-20,4,6,5
2018-02-21,5,6,6
2018-02-22,5,6,6
2018-02-23,6,11,15
2018-02-24,11,9,11
2018-02-25,11,13,16
2018-02-26,6,8,15
2018-02-27,7,13,9
2018-02-28,16,7,14
2018-03-01,8,7,8
2018-03-02,14,7,26
2018-03-03,7,9,18
2018-03-04,12,8,10
2018-03-05,6,7,15
2018-03-06,11,6,7
2018-03-07,10,8,11
2018-03-08,7,6,7
2018-03-09,13,6,12
2018-03-10,8,8,6
2018-03-11,12,9,8
2018-03-12,7,5,10
2018-03-13,10,7,8
2018-03-14,6,7,10
2018-03-15,9,5,5
2018-03-16,5,7,11
2018-03-17,11,6,11
2018-03-18,6,9,7
2018-03-19,6,6,7
2018-03-20,12,7,11
2018-03-21,7,7,9
2018-03-22,9,7,14
2018-03-23,7,6,13
2018-03-24,10,8,13
2018-03-25,9,7,15
2018-03-26,7,8,18
2018-03-27,7,7,29
2018-03-28,21,7,15
2018-03-29,8,7,20
2018-03-30,11,6,11
2018-03-31,9,8,18
2018-04-01,13,7,20
2018-04-02,7,6,10
2018-04-03,7,6,12
2018-04-04,13,7,19
2018-04-05,11,5,19
2018-04-06,8,7,22
2018-04-07,10,10,57
2018-04-08,7,8,31
2018-04-09,8,7,18
2018-04-10,13,10,18
2018-04-11,9,6,32
2018-04-12,19,14,44
2018-04-13,8,8,17
2018-04-14,13,6,28
2018-04-15,34,7,95
2018-04-16,10,6,28
2018-04-17,38,6,73
2018-04-18,11,6,17
2018-04-19,16,6,29
2018-04-20,33,6,64
2018-04-21,42,6,82
2018-04-22,16,5,35
2018-04-23,9,5,21
2018-04-24,13,5,34
2018-04-25,34,5,100
2018-04-26,6,5,18
2018-04-27,4,5,13
2018-04-28,4,6,14
2018-04-29,5,6,29
2018-04-30,4,5,32
2018-05-01,4,6,68
