Category: All categories

Day,Miami Heat: (United States),Houston Rockets: (United States),Oklahoma City Thunder: (United States)
2017-10-01,7,4,12
2017-10-02,5,4,10
2017-10-03,5,6,11
2017-10-04,4,15,21
2017-10-05,4,6,8
2017-10-06,6,7,10
2017-10-07,5,5,17
2017-10-08,6,5,12
2017-10-09,4,5,9
2017-10-10,5,6,7
2017-10-11,5,6,13
2017-10-12,6,8,7
2017-10-13,5,5,7
2017-10-14,8,10,8
2017-10-15,5,6,8
2017-10-16,5,6,8
2017-10-17,6,11,10
2017-10-18,9,78,17
2017-10-19,9,24,22
2017-10-20,5,12,58
2017-10-21,7,13,20
2017-10-22,10,19,37
2017-10-23,7,9,24
2017-10-24,9,16,11
2017-10-25,7,9,13
2017-10-26,10,15,21
2017-10-27,5,8,13
2017-10-28,6,12,31
2017-10-29,9,11,23
2017-10-30,6,8,11
2017-10-31,8,11,12
2017-11-01,6,7,18
2017-11-02,7,12,11
2017-11-03,5,7,13
2017-11-04,9,10,28
2017-11-05,8,7,11
2017-11-06,7,13,17
2017-11-07,10,7,9
2017-11-08,5,7,19
2017-11-09,8,10,11
2017-11-10,5,28,23
2017-11-11,8,8,23
2017-11-12,8,16,12
2017-11-13,4,11,15
2017-11-14,5,9,8
2017-11-15,6,15,9
2017-11-16,8,7,15
2017-11-17,5,30,12
2017-11-18,7,12,22
2017-11-19,7,14,9
2017-11-20,6,7,10
2017-11-21,4,7,17
2017-11-22,7,7,15
2017-11-23,19,17,77
2017-11-24,6,7,17
2017-11-25,8,9,24
2017-11-26,8,15,18
2017-11-27,6,7,8
2017-11-28,7,12,8
2017-11-29,12,8,9
2017-11-30,7,13,17
2017-12-01,5,7,10
2017-12-02,9,8,20
2017-12-03,6,8,12
2017-12-04,9,17,16
2017-12-05,4,8,10
2017-12-06,4,8,19
2017-12-07,6,8,10
2017-12-08,4,15,16
2017-12-09,5,9,11
2017-12-10,7,20,18
2017-12-11,4,11,10
2017-12-12,7,20,16
2017-12-13,5,12,11
2017-12-14,7,20,19
2017-12-15,5,11,11
2017-12-16,8,33,35
2017-12-17,10,25,24
2017-12-18,5,11,9
2017-12-19,7,21,15
2017-12-20,4,13,10
2017-12-21,11,33,17
2017-12-22,6,11,10
2017-12-23,10,24,20
2017-12-24,8,10,19
2017-12-25,6,18,17
2017-12-26,6,35,38
2017-12-27,9,9,12
2017-12-28,6,12,25
2017-12-29,7,34,13
2017-12-30,9,19,24
2017-12-31,8,9,11
2018-01-01,4,23,17
2018-01-02,5,8,8
2018-01-03,6,8,8
2018-01-04,9,16,23
2018-01-05,6,30,25
2018-01-06,12,9,11
2018-01-07,10,11,11
2018-01-08,6,7,15
2018-01-09,6,10,9
2018-01-10,14,7,15
2018-01-11,12,13,15
2018-01-12,7,8,8
2018-01-13,8,14,12
2018-01-14,12,7,11
2018-01-15,12,7,9
2018-01-16,7,36,14
2018-01-17,6,17,8
2018-01-18,11,14,16
2018-01-19,7,18,8
2018-01-20,12,14,29
2018-01-21,12,47,23
2018-01-22,7,11,10
2018-01-23,12,17,10
2018-01-24,9,10,15
2018-01-25,9,15,11
2018-01-26,13,9,20
2018-01-27,9,19,16
2018-01-28,13,16,26
2018-01-29,7,9,22
2018-01-30,11,10,14
2018-01-31,9,18,18
2018-02-01,17,10,12
2018-02-02,8,18,24
2018-02-03,14,13,20
2018-02-04,10,35,20
2018-02-05,6,9,10
2018-02-06,10,11,15
2018-02-07,8,17,53
2018-02-08,29,21,24
2018-02-09,27,13,25
2018-02-10,40,23,12
2018-02-11,14,17,14
2018-02-12,10,20,18
2018-02-13,10,13,14
2018-02-14,12,20,33
2018-02-15,11,19,14
2018-02-16,6,10,8
2018-02-17,6,8,8
2018-02-18,6,8,8
2018-02-19,6,8,7
2018-02-20,5,6,7
2018-02-21,5,7,7
2018-02-22,6,7,8
2018-02-23,6,10,18
2018-02-24,12,22,14
2018-02-25,12,14,50
2018-02-26,6,20,11
2018-02-27,7,21,14
2018-02-28,18,11,9
2018-03-01,9,28,17
2018-03-02,15,11,10
2018-03-03,8,17,20
2018-03-04,13,48,20
2018-03-05,7,12,8
2018-03-06,12,13,10
2018-03-07,10,37,24
2018-03-08,8,29,9
2018-03-09,14,17,13
2018-03-10,8,49,11
2018-03-11,13,17,22
2018-03-12,7,20,10
2018-03-13,11,21,15
2018-03-14,6,10,13
2018-03-15,10,11,8
2018-03-16,6,19,9
2018-03-17,12,14,16
2018-03-18,7,21,21
2018-03-19,7,18,11
2018-03-20,13,13,11
2018-03-21,8,30,19
2018-03-22,10,13,8
2018-03-23,7,20,9
2018-03-24,11,15,17
2018-03-25,10,24,13
2018-03-26,7,18,16
2018-03-27,8,12,8
2018-03-28,23,17,7
2018-03-29,9,11,9
2018-03-30,12,14,17
2018-03-31,10,25,17
2018-04-01,14,27,13
2018-04-02,7,13,12
2018-04-03,8,11,10
2018-04-04,14,17,27
2018-04-05,12,13,9
2018-04-06,9,18,9
2018-04-07,11,15,13
2018-04-08,8,34,35
2018-04-09,9,10,13
2018-04-10,14,10,26
2018-04-11,9,24,15
2018-04-12,20,23,35
2018-04-13,8,13,13
2018-04-14,15,16,12
2018-04-15,37,28,33
