Category: All categories

Day,Miami Heat: (United States),San Antonio Spurs: (United States),Los Angeles Lakers: (United States)
2017-10-01,7,4,46
2017-10-02,4,4,15
2017-10-03,4,9,29
2017-10-04,4,4,14
2017-10-05,4,4,21
2017-10-06,5,5,11
2017-10-07,4,9,14
2017-10-08,5,7,14
2017-10-09,3,5,21
2017-10-10,5,4,13
2017-10-11,4,7,22
2017-10-12,6,4,12
2017-10-13,5,4,12
2017-10-14,7,9,23
2017-10-15,5,5,14
2017-10-16,4,5,13
2017-10-17,5,9,15
2017-10-18,8,13,22
2017-10-19,9,28,31
2017-10-20,5,9,95
2017-10-21,7,10,81
2017-10-22,9,16,32
2017-10-23,7,10,53
2017-10-24,9,18,25
2017-10-25,7,10,28
2017-10-26,9,16,100
2017-10-27,5,10,26
2017-10-28,6,14,49
2017-10-29,8,13,34
2017-10-30,5,10,17
2017-10-31,7,13,20
2017-11-01,6,8,41
2017-11-02,7,11,23
2017-11-03,5,27,49
2017-11-04,8,14,55
2017-11-05,7,8,23
2017-11-06,7,10,43
2017-11-07,10,7,23
2017-11-08,5,12,24
2017-11-09,7,7,50
2017-11-10,4,8,32
2017-11-11,7,17,19
2017-11-12,8,12,40
2017-11-13,4,6,19
2017-11-14,5,7,33
2017-11-15,5,11,18
2017-11-16,7,9,54
2017-11-17,4,7,19
2017-11-18,7,19,44
2017-11-19,6,7,19
2017-11-20,5,6,37
2017-11-21,4,11,19
2017-11-22,6,6,49
2017-11-23,17,11,46
2017-11-24,5,5,16
2017-11-25,8,7,16
2017-11-26,7,9,15
2017-11-27,5,6,15
2017-11-28,6,13,32
2017-11-29,11,7,18
2017-11-30,6,11,61
2017-12-01,5,7,19
2017-12-02,8,11,18
2017-12-03,6,8,33
2017-12-04,8,14,29
2017-12-05,4,11,16
2017-12-06,4,7,15
2017-12-07,6,12,17
2017-12-08,3,8,42
2017-12-09,5,25,19
2017-12-10,6,15,34
2017-12-11,4,7,16
2017-12-12,6,9,19
2017-12-13,5,19,42
2017-12-14,6,8,20
2017-12-15,5,8,52
2017-12-16,7,22,19
2017-12-17,9,14,18
2017-12-18,5,7,23
2017-12-19,7,11,77
2017-12-20,4,7,22
2017-12-21,10,13,52
2017-12-22,6,14,23
2017-12-23,9,8,59
2017-12-24,7,12,43
2017-12-25,6,7,27
2017-12-26,6,8,44
2017-12-27,9,13,20
2017-12-28,6,8,32
2017-12-29,6,14,19
2017-12-30,9,8,30
2017-12-31,8,10,17
2018-01-01,4,4,38
2018-01-02,5,6,24
2018-01-03,6,12,17
2018-01-04,8,11,36
2018-01-05,6,7,16
2018-01-06,11,12,35
2018-01-07,9,7,18
2018-01-08,6,11,32
2018-01-09,5,9,18
2018-01-10,13,6,36
2018-01-11,11,7,20
2018-01-12,6,17,39
2018-01-13,7,8,37
2018-01-14,11,13,24
2018-01-15,11,10,24
2018-01-16,6,7,25
2018-01-17,6,6,19
2018-01-18,10,9,25
2018-01-19,7,6,16
2018-01-20,11,10,31
2018-01-21,11,8,28
2018-01-22,7,9,19
2018-01-23,11,9,18
2018-01-24,9,22,41
2018-01-25,8,11,21
2018-01-26,12,8,19
2018-01-27,8,14,37
2018-01-28,12,8,25
2018-01-29,6,10,23
2018-01-30,10,8,22
2018-01-31,9,12,19
2018-02-01,16,10,26
2018-02-02,8,15,18
2018-02-03,12,8,27
2018-02-04,9,12,35
2018-02-05,6,5,22
2018-02-06,10,6,23
2018-02-07,8,7,35
2018-02-08,26,18,72
2018-02-09,25,9,70
2018-02-10,37,9,40
2018-02-11,13,22,69
2018-02-12,9,7,24
2018-02-13,9,12,24
2018-02-14,12,11,23
2018-02-15,11,6,32
2018-02-16,6,5,32
2018-02-17,6,4,18
