Category: All categories

Day,Miami Heat: (United States),Boston Celtics: (United States),Golden State Warriors: (United States)
2017-10-01,3,5,20
2017-10-02,2,6,5
2017-10-03,2,10,5
2017-10-04,2,5,5
2017-10-05,2,5,9
2017-10-06,2,5,5
2017-10-07,2,7,5
2017-10-08,2,5,9
2017-10-09,2,5,5
2017-10-10,2,7,5
2017-10-11,2,6,5
2017-10-12,3,7,5
2017-10-13,2,5,6
2017-10-14,3,5,11
2017-10-15,2,4,5
2017-10-16,2,6,6
2017-10-17,2,20,11
2017-10-18,4,100,63
2017-10-19,4,25,12
2017-10-20,2,12,12
2017-10-21,3,16,34
2017-10-22,4,8,35
2017-10-23,3,6,12
2017-10-24,4,8,21
2017-10-25,3,12,11
2017-10-26,4,8,23
2017-10-27,2,14,10
2017-10-28,3,7,36
2017-10-29,4,12,15
2017-10-30,2,8,23
2017-10-31,3,13,20
2017-11-01,3,8,9
2017-11-02,3,12,11
2017-11-03,2,8,24
2017-11-04,4,22,13
2017-11-05,3,11,19
2017-11-06,3,15,10
2017-11-07,4,18,19
2017-11-08,2,11,10
2017-11-09,3,28,21
2017-11-10,2,11,10
2017-11-11,3,25,12
2017-11-12,3,20,23
2017-11-13,2,12,9
2017-11-14,2,11,18
2017-11-15,2,25,10
2017-11-16,3,16,14
2017-11-17,2,60,40
2017-11-18,3,16,11
2017-11-19,3,28,32
2017-11-20,2,12,15
2017-11-21,2,31,10
2017-11-22,3,14,12
2017-11-23,8,31,42
2017-11-24,2,11,10
2017-11-25,3,20,25
2017-11-26,3,19,24
2017-11-27,2,9,9
2017-11-28,3,16,19
2017-11-29,5,8,10
2017-11-30,3,9,29
2017-12-01,2,16,10
2017-12-02,4,16,17
2017-12-03,3,9,11
2017-12-04,4,8,16
2017-12-05,2,14,19
2017-12-06,2,9,10
2017-12-07,3,15,16
2017-12-08,1,8,9
2017-12-09,2,20,17
2017-12-10,3,13,9
2017-12-11,2,9,8
2017-12-12,3,13,16
2017-12-13,2,8,8
2017-12-14,3,12,9
2017-12-15,2,8,17
2017-12-16,3,14,10
2017-12-17,4,13,10
2017-12-18,2,7,9
2017-12-19,3,15,28
2017-12-20,2,9,11
2017-12-21,4,14,18
2017-12-22,3,16,10
2017-12-23,4,9,28
2017-12-24,3,13,22
2017-12-25,3,18,60
2017-12-26,2,17,23
2017-12-27,4,8,11
2017-12-28,3,13,19
2017-12-29,3,25,11
2017-12-30,4,9,22
2017-12-31,3,10,24
2018-01-01,2,10,9
2018-01-02,2,7,8
2018-01-03,3,11,9
2018-01-04,4,29,20
2018-01-05,2,9,25
2018-01-06,5,17,18
2018-01-07,4,12,12
2018-01-08,3,6,9
2018-01-09,2,6,17
2018-01-10,6,6,10
2018-01-11,5,14,20
2018-01-12,3,9,10
2018-01-13,3,6,22
2018-01-14,5,6,22
2018-01-15,5,6,14
2018-01-16,3,8,43
2018-01-17,2,14,11
2018-01-18,4,8,22
2018-01-19,3,12,10
2018-01-20,5,6,13
2018-01-21,5,11,33
2018-01-22,3,6,8
2018-01-23,5,7,9
2018-01-24,4,13,18
2018-01-25,4,11,9
2018-01-26,5,6,18
2018-01-27,4,9,13
2018-01-28,5,30,36
2018-01-29,3,8,9
2018-01-30,5,12,10
2018-01-31,4,8,19
2018-02-01,7,13,15
2018-02-02,3,10,13
2018-02-03,6,15,22
2018-02-04,4,16,20
2018-02-05,3,8,7
2018-02-06,4,9,10
2018-02-07,3,13,33
2018-02-08,12,15,12
2018-02-09,11,17,20
2018-02-10,16,14,11
2018-02-11,6,30,23
2018-02-12,4,15,10
2018-02-13,4,6,17
2018-02-14,5,7,9
2018-02-15,5,11,20
2018-02-16,3,5,7
2018-02-17,3,5,6
2018-02-18,3,4,6
2018-02-19,2,4,6
2018-02-20,2,4,5
2018-02-21,2,4,6
2018-02-22,2,4,7
2018-02-23,2,5,17
2018-02-24,5,11,11
2018-02-25,5,11,35
2018-02-26,3,6,10
2018-02-27,3,9,16
2018-02-28,7,5,9
2018-03-01,4,9,17
2018-03-02,6,5,9
2018-03-03,3,7,17
2018-03-04,5,21,9
2018-03-05,3,5,7
2018-03-06,5,9,8
2018-03-07,4,5,17
2018-03-08,3,5,9
2018-03-09,6,13,22
2018-03-10,3,7,23
2018-03-11,5,8,18
2018-03-12,3,9,9
2018-03-13,4,5,8
