Category: All categories

Day,Miami Heat: (United States),Cleveland Cavaliers: (United States)
2017-10-01,2,6
2017-10-02,1,6
2017-10-03,1,7
2017-10-04,1,8
2017-10-05,1,10
2017-10-06,1,7
2017-10-07,1,10
2017-10-08,1,8
2017-10-09,1,6
2017-10-10,1,6
2017-10-11,1,10
2017-10-12,2,7
2017-10-13,1,6
2017-10-14,2,8
2017-10-15,1,6
2017-10-16,1,6
2017-10-17,1,18
2017-10-18,2,54
2017-10-19,2,9
2017-10-20,1,9
2017-10-21,2,19
2017-10-22,3,17
2017-10-23,2,7
2017-10-24,2,9
2017-10-25,2,14
2017-10-26,3,14
2017-10-27,1,6
2017-10-28,2,8
2017-10-29,2,15
2017-10-30,1,12
2017-10-31,2,6
2017-11-01,2,7
2017-11-02,2,12
2017-11-03,1,8
2017-11-04,2,16
2017-11-05,2,13
2017-11-06,2,9
2017-11-07,3,8
2017-11-08,1,14
2017-11-09,2,7
2017-11-10,1,16
2017-11-11,2,6
2017-11-12,2,13
2017-11-13,1,6
2017-11-14,1,19
2017-11-15,1,7
2017-11-16,2,12
2017-11-17,1,7
2017-11-18,2,15
2017-11-19,2,7
2017-11-20,1,6
2017-11-21,1,12
2017-11-22,2,6
2017-11-23,5,13
2017-11-24,1,7
2017-11-25,2,16
2017-11-26,2,7
2017-11-27,1,7
2017-11-28,2,14
2017-11-29,3,14
2017-11-30,2,7
2017-12-01,1,13
2017-12-02,2,8
2017-12-03,2,14
2017-12-04,2,7
2017-12-05,1,12
2017-12-06,1,8
2017-12-07,2,13
2017-12-08,1,7
2017-12-09,1,15
2017-12-10,2,15
2017-12-11,1,6
2017-12-12,2,6
2017-12-13,1,11
2017-12-14,2,7
2017-12-15,1,18
2017-12-16,2,8
2017-12-17,2,15
2017-12-18,1,10
2017-12-19,2,7
2017-12-20,1,14
2017-12-21,3,8
2017-12-22,2,13
2017-12-23,3,7
2017-12-24,2,7
2017-12-25,2,39
2017-12-26,1,14
2017-12-27,2,8
2017-12-28,2,12
2017-12-29,2,6
2017-12-30,2,7
2017-12-31,2,11
2018-01-01,1,6
2018-01-02,1,9
2018-01-03,2,22
2018-01-04,2,22
2018-01-05,1,6
2018-01-06,3,7
2018-01-07,3,12
2018-01-08,2,6
2018-01-09,1,13
2018-01-10,3,6
2018-01-11,3,6
2018-01-12,2,15
2018-01-13,2,15
2018-01-14,3,6
2018-01-15,3,9
2018-01-16,2,32
2018-01-17,1,8
2018-01-18,3,7
2018-01-19,2,13
2018-01-20,3,20
2018-01-21,3,13
2018-01-22,2,7
2018-01-23,3,10
2018-01-24,2,19
2018-01-25,2,9
2018-01-26,3,8
2018-01-27,2,16
2018-01-28,3,11
2018-01-29,2,12
2018-01-30,3,10
2018-01-31,2,15
2018-02-01,4,13
2018-02-02,2,7
2018-02-03,3,9
2018-02-04,2,22
2018-02-05,2,8
2018-02-06,3,10
2018-02-07,2,19
2018-02-08,7,64
2018-02-09,7,35
2018-02-10,10,30
2018-02-11,3,35
2018-02-12,2,21
2018-02-13,2,13
2018-02-14,3,30
2018-02-15,3,11
2018-02-16,2,8
2018-02-17,2,6
2018-02-18,2,5
2018-02-19,1,5
2018-02-20,1,5
2018-02-21,1,5
2018-02-22,1,7
2018-02-23,1,16
2018-02-24,3,15
2018-02-25,3,16
2018-02-26,2,8
2018-02-27,2,6
2018-02-28,4,15
2018-03-01,2,7
2018-03-02,4,16
2018-03-03,2,7
2018-03-04,3,14
2018-03-05,2,6
2018-03-06,3,11
2018-03-07,3,6
2018-03-08,2,12
2018-03-09,3,6
2018-03-10,2,12
2018-03-11,3,7
2018-03-12,2,14
2018-03-13,3,6
2018-03-14,2,10
2018-03-15,2,5
2018-03-16,1,12
2018-03-17,3,6
2018-03-18,2,10
2018-03-19,2,8
2018-03-20,3,11
2018-03-21,2,7
2018-03-22,2,14
2018-03-23,2,7
2018-03-24,3,11
2018-03-25,2,12
2018-03-26,2,6
2018-03-27,2,7
2018-03-28,6,15
2018-03-29,2,10
2018-03-30,3,7
2018-03-31,3,12
2018-04-01,4,11
2018-04-02,2,8
2018-04-03,2,8
2018-04-04,4,12
2018-04-05,3,8
2018-04-06,2,17
2018-04-07,3,19
2018-04-08,2,7
2018-04-09,2,7
2018-04-10,3,11
2018-04-11,2,9
2018-04-12,5,13
2018-04-13,2,6
2018-04-14,4,7
2018-04-15,9,37
2018-04-16,3,12
2018-04-17,10,9
2018-04-18,3,18
2018-04-19,4,33
2018-04-20,9,14
2018-04-21,11,35
2018-04-22,4,19
2018-04-23,3,42
2018-04-24,3,11
2018-04-25,9,18
2018-04-26,2,41
2018-04-27,1,16
2018-04-28,1,55
2018-04-29,1,100
2018-04-30,1,19
2018-05-01,1,16
