Category: All categories

Day,Miami Heat: (United States),Atlanta Hawks: (United States),New Orleans Pelicans: (United States)
2017-10-01,14,6,4
2017-10-02,10,5,3
2017-10-03,9,4,5
2017-10-04,8,7,7
2017-10-05,9,11,3
2017-10-06,11,7,3
2017-10-07,9,6,7
2017-10-08,11,5,5
2017-10-09,7,6,4
2017-10-10,11,6,3
2017-10-11,9,5,3
2017-10-12,12,5,3
2017-10-13,10,7,3
2017-10-14,15,6,4
2017-10-15,10,6,4
2017-10-16,9,5,4
2017-10-17,11,5,4
2017-10-18,18,9,6
2017-10-19,18,14,10
2017-10-20,10,8,8
2017-10-21,15,9,39
2017-10-22,20,10,13
2017-10-23,15,9,23
2017-10-24,19,7,7
2017-10-25,14,6,12
2017-10-26,20,7,7
2017-10-27,10,10,15
2017-10-28,13,9,11
2017-10-29,18,10,18
2017-10-30,12,7,7
2017-10-31,16,5,7
2017-11-01,12,7,5
2017-11-02,15,7,7
2017-11-03,11,7,5
2017-11-04,18,9,8
2017-11-05,15,14,7
2017-11-06,14,13,4
2017-11-07,21,15,5
2017-11-08,10,6,7
2017-11-09,16,5,6
2017-11-10,9,6,7
2017-11-11,15,7,6
2017-11-12,16,6,8
2017-11-13,8,6,5
2017-11-14,10,7,8
2017-11-15,12,7,6
2017-11-16,15,9,7
2017-11-17,9,7,5
2017-11-18,15,9,12
2017-11-19,13,16,4
2017-11-20,11,6,5
2017-11-21,9,8,10
2017-11-22,14,5,5
2017-11-23,37,7,8
2017-11-24,11,6,5
2017-11-25,17,11,10
2017-11-26,15,8,14
2017-11-27,11,4,4
2017-11-28,14,4,3
2017-11-29,23,4,5
2017-11-30,13,8,7
2017-12-01,11,15,4
2017-12-02,17,6,8
2017-12-03,12,4,8
2017-12-04,17,5,5
2017-12-05,8,7,12
2017-12-06,8,5,5
2017-12-07,13,6,6
2017-12-08,7,5,5
2017-12-09,10,6,8
2017-12-10,13,7,6
2017-12-11,8,7,8
2017-12-12,13,6,9
2017-12-13,11,9,5
2017-12-14,13,6,8
2017-12-15,10,8,4
2017-12-16,15,6,7
2017-12-17,19,5,3
2017-12-18,10,6,4
2017-12-19,14,9,5
2017-12-20,9,6,6
2017-12-21,22,7,4
2017-12-22,13,5,4
2017-12-23,20,10,7
2017-12-24,15,8,7
2017-12-25,13,6,5
2017-12-26,12,5,5
2017-12-27,18,7,4
2017-12-28,12,8,11
2017-12-29,13,6,6
2017-12-30,19,9,10
2017-12-31,16,8,9
2018-01-01,8,4,3
2018-01-02,10,5,3
2018-01-03,12,7,4
2018-01-04,18,5,6
2018-01-05,12,5,4
2018-01-06,24,7,4
2018-01-07,20,6,7
2018-01-08,12,10,5
2018-01-09,11,8,6
2018-01-10,28,5,4
2018-01-11,24,7,5
2018-01-12,14,6,5
2018-01-13,15,8,8
2018-01-14,24,5,9
2018-01-15,24,9,9
2018-01-16,13,6,7
2018-01-17,12,6,16
2018-01-18,21,6,7
2018-01-19,14,5,5
2018-01-20,23,9,6
2018-01-21,24,8,9
2018-01-22,14,5,5
2018-01-23,24,7,13
2018-01-24,19,6,7
2018-01-25,17,6,8
2018-01-26,26,5,8
2018-01-27,17,9,28
2018-01-28,25,7,11
2018-01-29,14,6,6
2018-01-30,22,9,10
2018-01-31,19,6,8
2018-02-01,34,7,10
2018-02-02,16,7,9
2018-02-03,27,9,15
2018-02-04,19,7,10
2018-02-05,12,5,6
2018-02-06,21,6,9
2018-02-07,17,7,5
2018-02-08,56,10,24
2018-02-09,54,13,7
2018-02-10,79,18,9
2018-02-11,27,11,9
2018-02-12,19,7,6
2018-02-13,20,5,7
2018-02-14,25,7,6
2018-02-15,23,5,10
2018-02-16,12,3,4
2018-02-17,12,4,3
2018-02-18,13,3,4
2018-02-19,11,4,3
2018-02-20,10,4,3
2018-02-21,11,3,4
2018-02-22,11,4,3
2018-02-23,12,4,5
2018-02-24,24,5,10
2018-02-25,23,4,10
2018-02-26,12,5,7
2018-02-27,14,10,12
2018-02-28,35,6,6
2018-03-01,18,6,12
2018-03-02,30,7,6
2018-03-03,15,12,6
2018-03-04,25,9,8
2018-03-05,13,5,10
2018-03-06,23,4,7
2018-03-07,20,5,17
2018-03-08,15,4,12
2018-03-09,27,5,10
2018-03-10,16,5,11
2018-03-11,26,9,13
2018-03-12,14,5,6
2018-03-13,22,7,6
2018-03-14,13,7,7
2018-03-15,20,5,7
2018-03-16,11,5,10
2018-03-17,24,5,8
2018-03-18,14,4,16
2018-03-19,14,4,8
2018-03-20,26,5,6
2018-03-21,15,7,10
2018-03-22,19,6,11
2018-03-23,14,9,13
2018-03-24,21,9,8
2018-03-25,20,5,10
2018-03-26,14,6,5
2018-03-27,16,3,7
2018-03-28,45,6,9
2018-03-29,18,8,5
2018-03-30,24,6,7
2018-03-31,20,8,17
2018-04-01,28,6,12
2018-04-02,14,4,9
2018-04-03,16,5,4
2018-04-04,28,8,7
2018-04-05,23,6,8
2018-04-06,17,4,7
2018-04-07,22,6,12
2018-04-08,16,7,19
2018-04-09,18,5,7
2018-04-10,27,6,22
2018-04-11,19,7,8
2018-04-12,40,6,23
2018-04-13,16,4,8
2018-04-14,29,4,12
2018-04-15,73,3,50
2018-04-16,22,3,11
2018-04-17,80,3,10
2018-04-18,23,3,53
2018-04-19,34,3,19
2018-04-20,71,2,62
2018-04-21,90,3,72
2018-04-22,35,3,61
2018-04-23,20,3,18
2018-04-24,27,3,13
2018-04-25,72,2,31
2018-04-26,13,5,19
2018-04-27,9,3,13
2018-04-28,9,3,28
2018-04-29,10,4,100
2018-04-30,8,3,19
2018-05-01,8,3,17
