Category: All categories

Day,Miami Heat: (United States),Indiana Pacers: (United States),Phoenix Suns: (United States)
2017-10-01,5,1,1
2017-10-02,3,1,1
2017-10-03,3,1,2
2017-10-04,3,1,3
2017-10-05,3,2,2
2017-10-06,4,1,2
2017-10-07,3,3,2
2017-10-08,4,1,2
2017-10-09,3,2,1
2017-10-10,4,2,2
2017-10-11,3,2,2
2017-10-12,4,1,3
2017-10-13,4,1,1
2017-10-14,5,1,2
2017-10-15,4,2,1
2017-10-16,3,2,2
2017-10-17,4,2,2
2017-10-18,6,3,4
2017-10-19,7,5,11
2017-10-20,3,3,6
2017-10-21,5,4,17
2017-10-22,7,3,9
2017-10-23,5,2,10
2017-10-24,7,2,9
2017-10-25,5,5,5
2017-10-26,7,5,6
2017-10-27,4,2,3
2017-10-28,5,2,3
2017-10-29,6,3,5
2017-10-30,4,3,2
2017-10-31,6,3,3
2017-11-01,4,4,5
2017-11-02,5,6,5
2017-11-03,4,3,4
2017-11-04,6,3,5
2017-11-05,5,2,3
2017-11-06,5,4,4
2017-11-07,7,3,7
2017-11-08,4,3,4
2017-11-09,6,3,4
2017-11-10,3,2,3
2017-11-11,6,3,5
2017-11-12,6,3,5
2017-11-13,3,3,3
2017-11-14,4,2,5
2017-11-15,4,2,2
2017-11-16,5,2,3
2017-11-17,3,2,9
2017-11-18,5,4,8
2017-11-19,5,3,3
2017-11-20,4,3,4
2017-11-21,3,3,2
2017-11-22,5,2,2
2017-11-23,13,2,6
2017-11-24,4,3,3
2017-11-25,6,5,4
2017-11-26,6,6,3
2017-11-27,4,3,2
2017-11-28,5,3,2
2017-11-29,8,2,4
2017-11-30,5,3,3
2017-12-01,4,2,2
2017-12-02,6,3,5
2017-12-03,4,2,3
2017-12-04,6,2,2
2017-12-05,3,3,4
2017-12-06,3,2,4
2017-12-07,5,4,3
2017-12-08,3,3,3
2017-12-09,4,9,2
2017-12-10,5,5,3
2017-12-11,3,5,2
2017-12-12,5,3,2
2017-12-13,4,4,3
2017-12-14,5,8,3
2017-12-15,3,3,2
2017-12-16,5,4,2
2017-12-17,7,3,3
2017-12-18,4,4,2
2017-12-19,5,7,3
2017-12-20,3,2,2
2017-12-21,8,4,4
2017-12-22,5,2,4
2017-12-23,7,3,3
2017-12-24,6,4,3
2017-12-25,5,3,2
2017-12-26,4,3,3
2017-12-27,7,4,5
2017-12-28,4,4,2
2017-12-29,5,2,2
2017-12-30,7,3,4
2017-12-31,6,3,2
2018-01-01,3,2,3
2018-01-02,4,2,2
2018-01-03,4,2,4
2018-01-04,6,3,3
2018-01-05,4,2,2
2018-01-06,8,3,3
2018-01-07,7,4,3
2018-01-08,4,2,5
2018-01-09,4,4,2
2018-01-10,10,2,2
2018-01-11,9,4,2
2018-01-12,5,3,3
2018-01-13,5,8,5
2018-01-14,9,3,3
2018-01-15,9,4,3
2018-01-16,5,4,2
2018-01-17,4,2,3
2018-01-18,7,2,2
2018-01-19,5,4,2
2018-01-20,8,4,3
2018-01-21,9,2,2
2018-01-22,5,3,2
2018-01-23,9,2,3
2018-01-24,7,2,2
2018-01-25,6,3,3
2018-01-26,9,3,2
2018-01-27,6,6,4
2018-01-28,9,4,3
2018-01-29,5,3,2
2018-01-30,8,4,3
2018-01-31,7,3,2
2018-02-01,12,3,10
2018-02-02,6,3,3
2018-02-03,10,4,4
2018-02-04,7,4,4
2018-02-05,4,3,2
2018-02-06,7,3,2
2018-02-07,6,2,4
2018-02-08,20,8,7
2018-02-09,19,3,3
2018-02-10,28,5,3
2018-02-11,10,5,5
2018-02-12,7,3,3
2018-02-13,7,2,7
2018-02-14,9,2,3
2018-02-15,8,3,4
2018-02-16,4,2,2
2018-02-17,4,1,2
2018-02-18,5,2,3
2018-02-19,4,1,2
2018-02-20,3,2,2
2018-02-21,4,2,2
2018-02-22,4,2,2
2018-02-23,4,2,2
2018-02-24,9,3,3
2018-02-25,8,2,4
2018-02-26,4,2,2
2018-02-27,5,3,3
2018-02-28,12,2,2
2018-03-01,6,2,3
2018-03-02,11,2,2
2018-03-03,6,4,6
2018-03-04,9,3,3
2018-03-05,5,3,3
2018-03-06,8,4,3
2018-03-07,7,2,2
2018-03-08,6,3,2
2018-03-09,10,2,3
2018-03-10,6,3,3
2018-03-11,9,3,2
2018-03-12,5,4,2
2018-03-13,8,3,2
2018-03-14,5,4,4
2018-03-15,7,3,2
2018-03-16,4,4,4
2018-03-17,9,2,3
2018-03-18,5,2,5
2018-03-19,5,2,2
2018-03-20,9,3,2
2018-03-21,6,2,3
2018-03-22,7,3,2
2018-03-23,5,3,3
2018-03-24,8,3,4
2018-03-25,7,4,3
2018-03-26,5,3,3
2018-03-27,6,3,4
2018-03-28,16,5,2
2018-03-29,6,2,3
2018-03-30,9,4,2
2018-03-31,7,2,4
2018-04-01,10,4,2
2018-04-02,5,3,4
2018-04-03,6,2,2
2018-04-04,10,4,3
2018-04-05,8,3,2
2018-04-06,6,6,2
2018-04-07,8,4,3
2018-04-08,6,4,2
2018-04-09,6,2,4
2018-04-10,10,3,2
2018-04-11,7,3,3
2018-04-12,14,5,2
2018-04-13,6,3,2
2018-04-14,10,4,2
2018-04-15,26,31,2
2018-04-16,8,12,2
2018-04-17,29,7,2
2018-04-18,8,16,1
2018-04-19,12,30,2
2018-04-20,26,13,2
2018-04-21,32,40,1
2018-04-22,13,18,2
2018-04-23,7,47,1
2018-04-24,10,9,1
2018-04-25,26,16,1
2018-04-26,5,39,1
2018-04-27,3,12,1
2018-04-28,3,58,1
2018-04-29,4,100,1
2018-04-30,3,14,1
2018-05-01,3,4,1
