Category: All categories

Day,Miami Heat: (United States),Portland Trail Blazers: (United States),Utah Jazz: (United States)
2017-10-01,8,2,2
2017-10-02,5,2,3
2017-10-03,5,3,4
2017-10-04,5,6,3
2017-10-05,5,3,3
2017-10-06,6,4,2
2017-10-07,5,2,5
2017-10-08,6,4,2
2017-10-09,4,3,2
2017-10-10,6,3,4
2017-10-11,5,3,6
2017-10-12,7,5,3
2017-10-13,5,3,2
2017-10-14,8,4,2
2017-10-15,6,2,3
2017-10-16,5,3,3
2017-10-17,6,3,3
2017-10-18,10,5,6
2017-10-19,10,14,9
2017-10-20,5,6,5
2017-10-21,8,9,10
2017-10-22,11,9,12
2017-10-23,8,4,4
2017-10-24,10,5,4
2017-10-25,8,11,7
2017-10-26,11,5,5
2017-10-27,5,10,3
2017-10-28,7,4,3
2017-10-29,10,7,9
2017-10-30,6,4,4
2017-10-31,9,7,5
2017-11-01,7,4,3
2017-11-02,8,7,7
2017-11-03,6,15,4
2017-11-04,10,4,7
2017-11-05,8,4,4
2017-11-06,8,10,5
2017-11-07,11,4,3
2017-11-08,6,8,6
2017-11-09,9,4,3
2017-11-10,5,4,3
2017-11-11,9,8,6
2017-11-12,9,4,6
2017-11-13,4,4,3
2017-11-14,6,6,5
2017-11-15,6,3,3
2017-11-16,8,7,6
2017-11-17,5,3,3
2017-11-18,8,7,5
2017-11-19,7,7,4
2017-11-20,6,3,3
2017-11-21,5,5,4
2017-11-22,7,5,2
2017-11-23,21,7,5
2017-11-24,6,6,2
2017-11-25,9,5,3
2017-11-26,8,6,6
2017-11-27,6,4,3
2017-11-28,8,6,3
2017-11-29,13,3,7
2017-11-30,7,4,3
2017-12-01,6,7,7
2017-12-02,10,4,9
2017-12-03,7,7,3
2017-12-04,9,3,4
2017-12-05,4,3,9
2017-12-06,5,6,8
2017-12-07,7,3,4
2017-12-08,4,3,8
2017-12-09,6,4,4
2017-12-10,7,9,6
2017-12-11,5,3,3
2017-12-12,7,7,3
2017-12-13,6,3,3
2017-12-14,7,5,5
2017-12-15,5,3,3
2017-12-16,8,5,10
2017-12-17,10,6,8
2017-12-18,5,3,3
2017-12-19,8,5,6
2017-12-20,5,3,4
2017-12-21,12,7,6
2017-12-22,7,3,8
2017-12-23,11,7,4
2017-12-24,9,8,6
2017-12-25,7,3,3
2017-12-26,7,3,4
2017-12-27,10,3,6
2017-12-28,7,4,9
2017-12-29,7,10,4
2017-12-30,10,4,4
2017-12-31,9,5,11
2018-01-01,5,4,3
2018-01-02,6,7,3
2018-01-03,7,12,4
2018-01-04,10,4,6
2018-01-05,7,4,3
2018-01-06,13,6,5
2018-01-07,11,4,4
2018-01-08,7,7,3
2018-01-09,6,4,3
2018-01-10,15,7,4
2018-01-11,14,5,6
2018-01-12,7,3,4
2018-01-13,8,5,5
2018-01-14,13,4,4
2018-01-15,13,6,5
2018-01-16,7,3,6
2018-01-17,7,6,3
2018-01-18,11,4,6
2018-01-19,8,6,4
2018-01-20,13,4,11
2018-01-21,13,7,7
