Category: All categories

Day,Miami Heat: (United States),Washington Wizards: (United States),Detroit Pistons: (United States)
2017-10-01,16,5,5
2017-10-02,11,5,5
2017-10-03,10,6,6
2017-10-04,9,5,10
2017-10-05,10,6,11
2017-10-06,12,6,8
2017-10-07,10,7,9
2017-10-08,12,11,6
2017-10-09,8,6,7
2017-10-10,12,5,9
2017-10-11,10,6,7
2017-10-12,13,7,6
2017-10-13,11,7,6
2017-10-14,17,6,9
2017-10-15,11,5,6
2017-10-16,11,7,7
2017-10-17,12,7,7
2017-10-18,20,19,16
2017-10-19,20,31,33
2017-10-20,11,14,14
2017-10-21,16,20,17
2017-10-22,23,10,18
2017-10-23,16,11,13
2017-10-24,21,19,16
2017-10-25,16,18,12
2017-10-26,22,83,13
2017-10-27,11,14,8
2017-10-28,14,47,10
2017-10-29,20,16,19
2017-10-30,13,12,30
2017-10-31,18,8,14
2017-11-01,14,12,25
2017-11-02,16,13,11
2017-11-03,12,15,13
2017-11-04,20,32,23
2017-11-05,17,12,19
2017-11-06,16,12,11
2017-11-07,23,10,10
2017-11-08,12,14,12
2017-11-09,17,12,24
2017-11-10,11,22,14
2017-11-11,17,9,24
2017-11-12,18,13,21
2017-11-13,9,8,15
2017-11-14,12,13,12
2017-11-15,13,9,14
2017-11-16,17,14,19
2017-11-17,10,10,14
2017-11-18,16,16,19
2017-11-19,15,9,11
2017-11-20,13,8,22
2017-11-21,10,11,24
2017-11-22,15,8,10
2017-11-23,42,10,11
2017-11-24,12,7,9
2017-11-25,19,10,21
2017-11-26,17,12,11
2017-11-27,12,7,11
2017-11-28,15,8,30
2017-11-29,25,12,15
2017-11-30,15,13,21
2017-12-01,12,9,14
2017-12-02,19,13,19
2017-12-03,14,8,25
2017-12-04,19,7,10
2017-12-05,9,15,14
2017-12-06,9,13,9
2017-12-07,14,8,15
2017-12-08,8,11,13
2017-12-09,11,13,29
2017-12-10,14,8,16
2017-12-11,9,7,11
2017-12-12,15,8,9
2017-12-13,12,11,12
2017-12-14,15,11,10
2017-12-15,11,9,13
2017-12-16,17,14,17
2017-12-17,21,15,15
2017-12-18,11,14,11
2017-12-19,16,10,9
2017-12-20,10,13,13
2017-12-21,24,9,15
2017-12-22,14,10,11
2017-12-23,23,14,18
2017-12-24,17,12,9
2017-12-25,14,25,14
2017-12-26,13,28,11
2017-12-27,20,12,17
2017-12-28,14,14,12
2017-12-29,15,12,13
2017-12-30,21,16,11
2017-12-31,18,15,16
2018-01-01,9,9,8
2018-01-02,11,8,8
2018-01-03,14,10,10
2018-01-04,20,14,14
2018-01-05,13,8,9
2018-01-06,26,20,16
2018-01-07,22,15,16
2018-01-08,14,8,9
2018-01-09,12,7,11
2018-01-10,31,9,10
2018-01-11,27,12,11
2018-01-12,15,11,9
2018-01-13,17,14,10
2018-01-14,27,13,14
2018-01-15,27,14,14
2018-01-16,15,8,8
2018-01-17,13,9,9
2018-01-18,23,11,11
2018-01-19,16,7,10
2018-01-20,26,15,19
2018-01-21,27,8,13
2018-01-22,16,7,9
2018-01-23,27,11,8
2018-01-24,21,8,11
2018-01-25,20,9,13
2018-01-26,28,17,8
2018-01-27,19,9,15
2018-01-28,28,11,16
2018-01-29,15,7,30
2018-01-30,25,12,95
2018-01-31,21,17,58
2018-02-01,37,12,32
2018-02-02,18,14,60
2018-02-03,30,9,26
2018-02-04,21,13,38
2018-02-05,14,7,18
2018-02-06,23,17,30
2018-02-07,18,19,21
2018-02-08,63,19,39
2018-02-09,60,22,24
2018-02-10,88,10,39
2018-02-11,30,16,27
2018-02-12,21,9,15
2018-02-13,22,8,18
2018-02-14,27,8,11
2018-02-15,25,11,16
2018-02-16,13,7,9
2018-02-17,14,7,8
2018-02-18,14,6,8
2018-02-19,12,5,9
2018-02-20,11,6,7
2018-02-21,12,6,7
2018-02-22,13,9,7
2018-02-23,13,28,10
2018-02-24,26,14,17
2018-02-25,26,11,17
2018-02-26,14,19,10
2018-02-27,16,10,12
2018-02-28,39,22,9
2018-03-01,20,23,16
2018-03-02,33,9,10
2018-03-03,17,15,12
2018-03-04,28,11,13
2018-03-05,14,9,9
2018-03-06,26,8,16
2018-03-07,23,14,10
2018-03-08,17,7,20
2018-03-09,30,9,9
2018-03-10,18,14,14
2018-03-11,29,10,9
2018-03-12,16,7,7
2018-03-13,24,10,7
2018-03-14,14,11,11
2018-03-15,22,20,7
2018-03-16,13,7,9
2018-03-17,27,9,8
2018-03-18,15,11,10
2018-03-19,15,6,6
2018-03-20,29,7,11
2018-03-21,17,7,12
2018-03-22,21,13,8
2018-03-23,16,8,11
2018-03-24,24,10,10
2018-03-25,22,10,12
2018-03-26,16,9,10
2018-03-27,18,10,13
2018-03-28,50,11,8
2018-03-29,20,8,11
2018-03-30,27,9,12
2018-03-31,22,15,12
2018-04-01,32,15,14
2018-04-02,16,7,12
2018-04-03,18,7,8
2018-04-04,32,10,12
2018-04-05,26,10,13
2018-04-06,19,23,8
2018-04-07,24,13,10
2018-04-08,18,8,9
2018-04-09,20,7,8
2018-04-10,30,10,9
2018-04-11,21,18,6
2018-04-12,45,20,9
2018-04-13,18,9,6
2018-04-14,32,35,5
2018-04-15,82,26,6
2018-04-16,25,11,4
2018-04-17,90,19,5
2018-04-18,26,31,4
2018-04-19,38,10,5
2018-04-20,80,15,5
2018-04-21,100,41,6
2018-04-22,39,33,5
2018-04-23,23,40,5
2018-04-24,30,16,5
2018-04-25,81,23,5
2018-04-26,15,37,6
2018-04-27,11,22,4
2018-04-28,10,44,5
2018-04-29,11,12,5
2018-04-30,9,6,5
2018-05-01,8,5,4
