Category: All categories

Day,Miami Heat: (United States),Los Angeles Clippers: (United States),Minnesota Timberwolves: (United States)
2017-10-01,12,6,24
2017-10-02,8,9,7
2017-10-03,7,5,5
2017-10-04,7,8,6
2017-10-05,7,5,11
2017-10-06,9,4,6
2017-10-07,8,4,5
2017-10-08,9,7,11
2017-10-09,6,5,5
2017-10-10,9,4,5
2017-10-11,7,5,6
2017-10-12,10,5,6
2017-10-13,8,8,4
2017-10-14,12,10,5
2017-10-15,8,5,5
2017-10-16,8,5,6
2017-10-17,9,5,7
2017-10-18,14,6,14
2017-10-19,15,11,28
2017-10-20,8,45,11
2017-10-21,12,11,22
2017-10-22,16,16,13
2017-10-23,12,7,26
2017-10-24,15,8,11
2017-10-25,11,14,16
2017-10-26,16,9,10
2017-10-27,8,18,8
2017-10-28,10,11,21
2017-10-29,15,13,9
2017-10-30,9,9,7
2017-10-31,13,21,14
2017-11-01,10,7,7
2017-11-02,12,11,13
2017-11-03,9,7,8
2017-11-04,14,11,9
2017-11-05,12,11,16
2017-11-06,11,7,15
2017-11-07,17,6,8
2017-11-08,9,8,11
2017-11-09,13,5,24
2017-11-10,8,5,8
2017-11-11,12,13,8
2017-11-12,13,8,14
2017-11-13,7,6,6
2017-11-14,8,12,11
2017-11-15,9,5,8
2017-11-16,12,5,14
2017-11-17,7,6,7
2017-11-18,12,19,15
2017-11-19,11,8,8
2017-11-20,9,6,12
2017-11-21,7,9,9
2017-11-22,11,6,6
2017-11-23,30,9,12
2017-11-24,9,5,7
2017-11-25,14,5,12
2017-11-26,12,10,9
2017-11-27,9,5,7
2017-11-28,11,14,7
2017-11-29,18,5,11
2017-11-30,11,6,9
2017-12-01,9,9,6
2017-12-02,14,7,12
2017-12-03,10,6,6
2017-12-04,14,6,9
2017-12-05,6,5,7
2017-12-06,7,5,6
2017-12-07,10,9,11
2017-12-08,6,5,6
2017-12-09,8,8,6
2017-12-10,11,7,6
2017-12-11,7,6,8
2017-12-12,11,8,7
2017-12-13,9,5,16
2017-12-14,11,7,7
2017-12-15,8,5,10
2017-12-16,12,8,8
2017-12-17,15,6,12
2017-12-18,8,5,6
2017-12-19,11,7,11
2017-12-20,7,5,6
2017-12-21,17,8,10
2017-12-22,10,6,6
2017-12-23,16,15,6
2017-12-24,12,7,12
2017-12-25,10,6,10
2017-12-26,10,6,22
2017-12-27,15,10,9
2017-12-28,10,5,18
2017-12-29,11,6,12
2017-12-30,15,12,7
2017-12-31,13,6,8
2018-01-01,7,7,10
2018-01-02,8,6,12
2018-01-03,10,10,6
2018-01-04,14,8,12
2018-01-05,10,17,9
2018-01-06,19,13,17
2018-01-07,16,9,11
2018-01-08,10,6,7
2018-01-09,9,8,24
2018-01-10,23,6,10
2018-01-11,20,18,19
2018-01-12,11,10,9
2018-01-13,12,10,16
2018-01-14,20,7,9
2018-01-15,19,6,17
2018-01-16,11,46,9
2018-01-17,10,22,13
2018-01-18,17,19,7
2018-01-19,12,7,12
2018-01-20,19,8,8
2018-01-21,19,10,15
2018-01-22,12,6,7
2018-01-23,20,11,13
2018-01-24,15,7,8
2018-01-25,14,14,13
2018-01-26,21,5,16
2018-01-27,14,9,7
2018-01-28,20,8,12
2018-01-29,11,10,7
2018-01-30,18,36,11
2018-01-31,15,20,9
2018-02-01,27,11,7
2018-02-02,13,11,12
2018-02-03,22,12,9
2018-02-04,16,9,14
2018-02-05,10,7,6
2018-02-06,17,12,6
2018-02-07,13,7,9
2018-02-08,46,10,28
2018-02-09,43,8,13
2018-02-10,64,17,18
2018-02-11,22,9,11
2018-02-12,15,5,12
2018-02-13,16,6,9
2018-02-14,20,5,11
2018-02-15,18,10,7
2018-02-16,10,5,17
2018-02-17,10,8,5
2018-02-18,10,6,5
2018-02-19,9,5,4
2018-02-20,8,5,5
2018-02-21,9,4,4
2018-02-22,9,5,4
2018-02-23,10,12,5
2018-02-24,19,8,15
2018-02-25,19,5,12
2018-02-26,10,4,6
2018-02-27,12,6,9
2018-02-28,28,13,5
2018-03-01,14,16,5
2018-03-02,24,6,11
2018-03-03,12,9,15
2018-03-04,20,6,6
2018-03-05,10,8,5
2018-03-06,19,7,5
2018-03-07,17,12,5
2018-03-08,12,6,13
2018-03-09,22,7,21
2018-03-10,13,18,8
2018-03-11,21,11,22
2018-03-12,11,5,11
2018-03-13,18,5,8
2018-03-14,10,8,12
2018-03-15,16,5,6
2018-03-16,9,10,6
2018-03-17,20,9,7
2018-03-18,11,7,16
2018-03-19,11,10,13
2018-03-20,21,5,9
2018-03-21,12,7,12
2018-03-22,15,6,6
2018-03-23,12,5,7
2018-03-24,17,5,14
2018-03-25,16,5,9
2018-03-26,12,5,7
2018-03-27,13,5,12
2018-03-28,37,11,7
2018-03-29,14,7,14
2018-03-30,20,6,7
2018-03-31,16,10,12
2018-04-01,23,7,12
2018-04-02,12,5,12
2018-04-03,13,5,6
2018-04-04,23,11,7
2018-04-05,19,6,8
2018-04-06,14,8,22
2018-04-07,17,10,23
2018-04-08,13,6,13
2018-04-09,14,4,11
2018-04-10,22,11,35
2018-04-11,15,5,27
2018-04-12,33,10,100
2018-04-13,13,4,12
2018-04-14,23,3,14
2018-04-15,59,5,22
2018-04-16,18,3,55
2018-04-17,65,3,12
2018-04-18,19,3,16
2018-04-19,28,3,41
2018-04-20,58,3,9
2018-04-21,73,3,21
2018-04-22,28,3,58
2018-04-23,16,3,22
2018-04-24,22,3,44
2018-04-25,59,2,13
2018-04-26,11,3,39
2018-04-27,8,3,5
2018-04-28,7,3,4
2018-04-29,8,3,4
2018-04-30,6,3,3
2018-05-01,6,3,3
