Category: All categories

Day,Miami Heat: (United States),Brooklyn Nets: (United States),Milwaukee Bucks: (United States)
2017-10-01,11,4,5
2017-10-02,7,3,4
2017-10-03,7,6,7
2017-10-04,6,8,6
2017-10-05,7,5,7
2017-10-06,8,7,6
2017-10-07,7,5,7
2017-10-08,8,6,5
2017-10-09,6,7,4
2017-10-10,8,5,5
2017-10-11,7,6,4
2017-10-12,9,7,5
2017-10-13,8,4,4
2017-10-14,12,4,8
2017-10-15,8,3,6
2017-10-16,7,4,6
2017-10-17,9,5,7
2017-10-18,14,7,15
2017-10-19,14,13,27
2017-10-20,7,8,20
2017-10-21,11,11,35
2017-10-22,16,11,25
2017-10-23,11,9,15
2017-10-24,14,8,20
2017-10-25,11,13,10
2017-10-26,16,24,19
2017-10-27,8,10,33
2017-10-28,10,10,11
2017-10-29,14,8,15
2017-10-30,9,7,10
2017-10-31,12,6,12
2017-11-01,9,7,19
2017-11-02,11,4,10
2017-11-03,8,6,9
2017-11-04,14,17,13
2017-11-05,12,5,7
2017-11-06,11,6,8
2017-11-07,16,8,26
2017-11-08,8,7,30
2017-11-09,12,4,12
2017-11-10,7,4,13
2017-11-11,12,8,31
2017-11-12,12,6,26
2017-11-13,6,5,11
2017-11-14,8,8,15
2017-11-15,9,15,11
2017-11-16,12,4,17
2017-11-17,7,4,9
2017-11-18,11,6,10
2017-11-19,10,7,15
2017-11-20,9,9,8
2017-11-21,7,5,13
2017-11-22,10,5,7
2017-11-23,29,10,16
2017-11-24,8,9,8
2017-11-25,13,4,9
2017-11-26,12,5,13
2017-11-27,9,6,8
2017-11-28,11,6,8
2017-11-29,18,4,11
2017-11-30,10,5,8
2017-12-01,8,4,14
2017-12-02,13,6,9
2017-12-03,9,4,13
2017-12-04,13,4,9
2017-12-05,6,4,14
2017-12-06,6,3,9
2017-12-07,10,7,13
2017-12-08,6,13,9
2017-12-09,8,8,16
2017-12-10,10,7,17
2017-12-11,6,5,8
2017-12-12,10,5,8
2017-12-13,8,9,9
2017-12-14,10,7,12
2017-12-15,7,9,9
2017-12-16,11,6,15
2017-12-17,15,7,14
2017-12-18,8,6,7
2017-12-19,11,5,11
2017-12-20,7,5,29
2017-12-21,17,6,11
2017-12-22,10,5,10
2017-12-23,16,7,16
2017-12-24,12,6,12
2017-12-25,10,5,9
2017-12-26,9,5,10
2017-12-27,14,6,16
2017-12-28,10,6,11
2017-12-29,10,5,17
2017-12-30,14,6,22
2017-12-31,13,5,8
2018-01-01,6,6,8
2018-01-02,8,6,11
2018-01-03,10,5,8
2018-01-04,14,7,12
2018-01-05,9,4,10
2018-01-06,18,7,14
2018-01-07,16,8,13
2018-01-08,9,5,8
2018-01-09,8,7,11
2018-01-10,22,4,9
2018-01-11,19,5,13
2018-01-12,10,5,11
2018-01-13,11,7,26
2018-01-14,19,7,13
2018-01-15,19,6,11
2018-01-16,10,5,8
2018-01-17,9,4,9
2018-01-18,16,6,11
2018-01-19,11,5,8
2018-01-20,18,7,10
2018-01-21,18,5,12
2018-01-22,11,4,17
2018-01-23,19,4,23
2018-01-24,14,7,10
2018-01-25,13,4,10
2018-01-26,20,4,10
2018-01-27,13,6,19
2018-01-28,19,6,17
2018-01-29,10,4,12
2018-01-30,17,5,19
2018-01-31,14,7,10
2018-02-01,26,8,12
2018-02-02,12,5,17
2018-02-03,21,8,23
2018-02-04,15,7,18
2018-02-05,9,4,11
2018-02-06,16,6,14
2018-02-07,13,8,19
2018-02-08,44,9,14
2018-02-09,41,5,12
2018-02-10,61,6,21
2018-02-11,21,7,17
2018-02-12,15,5,9
2018-02-13,15,5,11
2018-02-14,19,4,14
2018-02-15,17,5,10
2018-02-16,9,3,14
2018-02-17,10,3,9
2018-02-18,10,4,10
2018-02-19,9,2,8
2018-02-20,7,2,7
2018-02-21,8,3,7
2018-02-22,9,3,10
2018-02-23,9,3,10
2018-02-24,18,3,19
2018-02-25,18,4,20
2018-02-26,9,4,10
2018-02-27,11,7,10
2018-02-28,27,11,17
2018-03-01,14,4,12
2018-03-02,23,6,10
2018-03-03,12,3,15
2018-03-04,19,3,13
2018-03-05,10,4,21
2018-03-06,18,4,13
2018-03-07,16,8,15
2018-03-08,12,4,18
2018-03-09,21,5,11
2018-03-10,13,3,16
2018-03-11,20,6,13
2018-03-12,11,6,11
2018-03-13,17,5,16
2018-03-14,10,9,11
2018-03-15,15,3,11
2018-03-16,9,4,8
2018-03-17,19,5,13
2018-03-18,11,5,14
2018-03-19,10,4,13
2018-03-20,20,4,18
2018-03-21,12,4,12
2018-03-22,14,5,14
2018-03-23,11,4,11
2018-03-24,16,5,15
2018-03-25,15,12,20
2018-03-26,11,4,28
2018-03-27,12,3,13
2018-03-28,35,3,19
2018-03-29,14,4,11
2018-03-30,19,2,26
2018-03-31,16,4,23
2018-04-01,22,8,18
2018-04-02,11,4,19
2018-04-03,12,4,12
2018-04-04,22,4,19
2018-04-05,18,3,14
2018-04-06,13,4,18
2018-04-07,17,4,16
2018-04-08,12,4,21
2018-04-09,14,3,13
2018-04-10,21,4,17
2018-04-11,14,3,15
2018-04-12,31,4,31
2018-04-13,13,3,13
2018-04-14,22,2,17
2018-04-15,57,3,73
2018-04-16,17,2,20
2018-04-17,62,2,19
2018-04-18,18,2,39
2018-04-19,26,2,15
2018-04-20,55,2,19
2018-04-21,69,2,68
2018-04-22,27,2,80
2018-04-23,16,2,28
2018-04-24,21,2,34
2018-04-25,56,2,54
2018-04-26,10,1,29
2018-04-27,7,2,75
2018-04-28,7,2,43
2018-04-29,8,3,100
2018-04-30,6,2,14
2018-05-01,6,2,16
