Category: All categories

Day,Miami Heat: (United States),Toronto Raptors: (United States),Chicago Bulls: (United States)
2017-10-01,16,3,15
2017-10-02,11,5,12
2017-10-03,10,3,14
2017-10-04,9,5,25
2017-10-05,10,3,20
2017-10-06,12,3,15
2017-10-07,10,2,21
2017-10-08,12,2,17
2017-10-09,8,2,17
2017-10-10,12,3,16
2017-10-11,10,3,32
2017-10-12,13,2,14
2017-10-13,11,2,15
2017-10-14,17,3,21
2017-10-15,11,3,15
2017-10-16,11,3,14
2017-10-17,12,3,22
2017-10-18,20,4,43
2017-10-19,20,7,32
2017-10-20,11,7,34
2017-10-21,16,5,26
2017-10-22,23,7,33
2017-10-23,16,6,19
2017-10-24,21,9,28
2017-10-25,16,5,40
2017-10-26,22,14,23
2017-10-27,11,7,30
2017-10-28,14,15,23
2017-10-29,20,4,30
2017-10-30,13,4,18
2017-10-31,18,5,14
2017-11-01,14,4,17
2017-11-02,16,5,22
2017-11-03,12,4,19
2017-11-04,20,5,31
2017-11-05,17,3,27
2017-11-06,16,5,15
2017-11-07,23,4,17
2017-11-08,12,5,24
2017-11-09,17,4,19
2017-11-10,11,5,18
2017-11-11,17,3,26
2017-11-12,18,10,23
2017-11-13,9,5,13
2017-11-14,12,4,15
2017-11-15,13,10,17
2017-11-16,17,4,26
2017-11-17,10,4,17
2017-11-18,16,6,29
2017-11-19,15,4,17
2017-11-20,13,4,21
2017-11-21,10,3,19
2017-11-22,15,4,44
2017-11-23,42,8,24
2017-11-24,12,4,17
2017-11-25,19,6,38
2017-11-26,17,5,27
2017-11-27,12,2,18
2017-11-28,15,3,17
2017-11-29,25,3,22
2017-11-30,15,6,17
2017-12-01,12,3,24
2017-12-02,19,5,24
2017-12-03,14,3,14
2017-12-04,19,3,17
2017-12-05,9,5,28
2017-12-06,9,6,15
2017-12-07,14,2,21
2017-12-08,8,4,17
2017-12-09,11,6,29
2017-12-10,14,5,32
2017-12-11,9,5,19
2017-12-12,15,6,34
2017-12-13,12,4,21
2017-12-14,15,4,34
2017-12-15,11,4,19
2017-12-16,17,5,41
2017-12-17,21,5,21
2017-12-18,11,4,20
2017-12-19,16,4,43
2017-12-20,10,5,24
2017-12-21,24,6,50
2017-12-22,14,8,52
2017-12-23,23,6,25
2017-12-24,17,7,34
2017-12-25,14,5,24
2017-12-26,13,8,22
2017-12-27,20,10,41
2017-12-28,14,12,43
2017-12-29,15,5,27
2017-12-30,21,7,45
2017-12-31,18,3,36
2018-01-01,9,4,25
2018-01-02,11,9,31
2018-01-03,14,4,18
2018-01-04,20,6,27
2018-01-05,13,3,19
2018-01-06,26,7,36
2018-01-07,22,4,27
2018-01-08,14,4,18
2018-01-09,12,9,28
2018-01-10,31,10,20
2018-01-11,27,6,39
2018-01-12,15,27,22
2018-01-13,17,11,27
2018-01-14,27,21,45
2018-01-15,27,10,38
2018-01-16,15,5,31
2018-01-17,13,4,26
2018-01-18,23,5,67
2018-01-19,16,4,23
2018-01-20,26,10,32
2018-01-21,27,7,31
2018-01-22,16,3,22
2018-01-23,27,4,38
2018-01-24,21,4,22
2018-01-25,20,6,27
2018-01-26,28,3,23
2018-01-27,19,8,38
2018-01-28,28,6,31
2018-01-29,15,8,17
2018-01-30,25,5,24
2018-01-31,21,6,24
2018-02-01,37,5,38
2018-02-02,18,7,28
2018-02-03,30,6,32
2018-02-04,21,6,23
2018-02-05,14,3,17
2018-02-06,23,5,29
2018-02-07,18,13,20
2018-02-08,63,7,33
2018-02-09,60,8,27
2018-02-10,88,6,56
2018-02-11,30,11,34
2018-02-12,21,7,22
2018-02-13,22,6,28
