Category: All categories

Day,Miami Heat: (United States),Memphis Grizzlies: (United States),Orlando Magic: (United States)
2017-10-01,16,2,3
2017-10-02,11,3,3
2017-10-03,10,4,4
2017-10-04,9,5,3
2017-10-05,10,5,5
2017-10-06,12,3,5
2017-10-07,10,3,6
2017-10-08,12,3,6
2017-10-09,8,3,4
2017-10-10,12,3,5
2017-10-11,10,4,5
2017-10-12,13,7,3
2017-10-13,11,4,6
2017-10-14,17,6,8
2017-10-15,11,3,4
2017-10-16,11,4,4
2017-10-17,12,4,5
2017-10-18,20,7,10
2017-10-19,20,10,11
2017-10-20,11,6,7
2017-10-21,16,10,10
2017-10-22,23,29,22
2017-10-23,16,10,8
2017-10-24,21,17,10
2017-10-25,16,8,11
2017-10-26,22,11,6
2017-10-27,11,10,8
2017-10-28,14,8,21
2017-10-29,20,11,12
2017-10-30,13,8,9
2017-10-31,18,8,10
2017-11-01,14,6,8
2017-11-02,16,7,13
2017-11-03,12,4,10
2017-11-04,20,8,11
2017-11-05,17,7,12
2017-11-06,16,14,11
2017-11-07,23,5,6
2017-11-08,12,7,8
2017-11-09,17,5,12
2017-11-10,11,5,7
2017-11-11,17,5,10
2017-11-12,18,7,8
2017-11-13,9,5,6
2017-11-14,12,7,12
2017-11-15,13,4,6
2017-11-16,17,6,8
2017-11-17,10,4,5
2017-11-18,16,6,6
2017-11-19,15,9,7
2017-11-20,13,4,6
2017-11-21,10,5,7
2017-11-22,15,4,4
2017-11-23,42,6,7
2017-11-24,12,3,5
2017-11-25,19,5,11
2017-11-26,17,5,8
2017-11-27,12,11,6
2017-11-28,15,11,6
2017-11-29,25,6,6
2017-11-30,15,8,12
2017-12-01,12,5,7
2017-12-02,19,8,13
2017-12-03,14,11,7
2017-12-04,19,4,6
2017-12-05,9,7,6
2017-12-06,9,5,5
2017-12-07,14,5,6
2017-12-08,8,4,6
2017-12-09,11,7,7
2017-12-10,14,10,6
2017-12-11,9,4,4
2017-12-12,15,5,4
2017-12-13,12,3,5
2017-12-14,15,5,5
2017-12-15,11,5,5
2017-12-16,17,7,7
2017-12-17,21,9,7
2017-12-18,11,3,5
2017-12-19,16,4,4
2017-12-20,10,4,6
2017-12-21,24,10,7
2017-12-22,14,6,6
2017-12-23,23,5,7
2017-12-24,17,5,7
2017-12-25,14,4,6
2017-12-26,13,5,5
2017-12-27,20,8,7
2017-12-28,14,9,7
2017-12-29,15,3,8
2017-12-30,21,5,6
2017-12-31,18,12,7
2018-01-01,9,5,5
2018-01-02,11,4,6
2018-01-03,14,7,5
2018-01-04,20,3,7
2018-01-05,13,4,4
2018-01-06,26,9,7
2018-01-07,22,3,12
2018-01-08,14,2,4
2018-01-09,12,3,4
2018-01-10,31,4,6
2018-01-11,27,5,5
2018-01-12,15,4,5
2018-01-13,17,6,7
2018-01-14,27,4,4
2018-01-15,27,9,5
2018-01-16,15,7,6
2018-01-17,13,3,11
2018-01-18,23,6,7
2018-01-19,16,4,14
2018-01-20,26,8,5
2018-01-21,27,5,11
2018-01-22,16,5,4
2018-01-23,27,6,5
2018-01-24,21,5,6
2018-01-25,20,5,4
2018-01-26,28,4,4
2018-01-27,19,6,5
2018-01-28,28,4,7
2018-01-29,15,4,4
2018-01-30,25,5,6
2018-01-31,21,5,9
2018-02-01,37,6,10
2018-02-02,18,7,5
2018-02-03,30,3,7
2018-02-04,21,4,7
2018-02-05,14,3,5
2018-02-06,23,4,10
2018-02-07,18,5,15
2018-02-08,63,8,14
2018-02-09,60,4,9
2018-02-10,88,4,7
2018-02-11,30,5,9
2018-02-12,21,5,5
2018-02-13,22,4,6
2018-02-14,27,4,4
2018-02-15,25,4,5
2018-02-16,13,2,4
2018-02-17,14,3,3
2018-02-18,14,3,4
2018-02-19,12,2,3
2018-02-20,11,3,3
2018-02-21,12,2,3
2018-02-22,13,3,5
2018-02-23,13,5,7
2018-02-24,26,12,5
2018-02-25,26,6,5
2018-02-26,14,4,4
2018-02-27,16,4,5
2018-02-28,39,3,4
2018-03-01,20,4,5
2018-03-02,33,4,4
2018-03-03,17,5,8
2018-03-04,28,4,5
2018-03-05,14,4,3
2018-03-06,26,6,6
2018-03-07,23,3,4
2018-03-08,17,5,8
2018-03-09,30,4,4
2018-03-10,18,7,6
2018-03-11,29,6,6
2018-03-12,16,5,3
2018-03-13,24,5,4
2018-03-14,14,3,6
2018-03-15,22,3,6
2018-03-16,13,5,6
2018-03-17,27,5,5
2018-03-18,15,5,3
2018-03-19,15,4,3
2018-03-20,29,4,6
2018-03-21,17,4,5
2018-03-22,21,5,7
2018-03-23,16,14,5
2018-03-24,24,9,6
2018-03-25,22,8,6
2018-03-26,16,5,4
2018-03-27,18,6,3
2018-03-28,50,4,5
2018-03-29,20,6,4
2018-03-30,27,3,5
2018-03-31,22,5,5
2018-04-01,32,3,5
2018-04-02,16,4,3
2018-04-03,18,2,4
2018-04-04,32,3,5
2018-04-05,26,4,4
2018-04-06,19,4,5
2018-04-07,24,4,4
2018-04-08,18,5,5
2018-04-09,20,3,4
2018-04-10,30,5,4
2018-04-11,21,3,3
2018-04-12,45,7,8
2018-04-13,18,2,4
2018-04-14,32,2,3
2018-04-15,82,2,4
2018-04-16,25,2,3
2018-04-17,90,1,3
2018-04-18,26,2,2
2018-04-19,38,1,3
2018-04-20,80,1,2
2018-04-21,100,2,2
2018-04-22,39,2,3
2018-04-23,23,2,3
2018-04-24,30,2,3
2018-04-25,81,1,3
2018-04-26,15,2,3
2018-04-27,11,2,2
2018-04-28,10,2,3
2018-04-29,11,2,3
2018-04-30,9,1,2
2018-05-01,8,1,2
