,Date,Home,Away,Unique_Devices,Starts,Live_Unique_Devices,Live_Starts,VOD_Unique_Devices,VOD_Starts,Life_Play_Time,Team,Opp,At_Home
82,2018-04-11,BOS,BRK,7049,16144,5959,14367,1225,1777,208799.99,BOS,BRK,True
83,2018-04-11,CHI,DET,2310,4498,1891,3843,463,655,63257.23,CHI,DET,True
84,2018-04-11,CLE,NYK,21928,52029,20162,49025,2063,3004,706188.42,CLE,NYK,True
85,2018-04-11,LAC,LAL,11848,24483,10837,22609,1186,1874,508550.06,LAC,LAL,True
86,2018-04-11,MIA,TOR,14877,41430,13844,39426,1266,2004,482860.57,MIA,TOR,True
87,2018-04-11,MIN,DEN,63512,204566,61217,199822,2815,4744,2831260.93,MIN,DEN,True
88,2018-04-11,NOP,SAS,10420,25418,9519,23935,996,1483,339902.34,NOP,SAS,True
89,2018-04-11,OKC,MEM,15342,44885,13940,42082,1675,2803,509218.9,OKC,MEM,True
90,2018-04-11,ORL,WAS,4021,9215,3673,8705,374,510,116259.46,ORL,WAS,True
91,2018-04-11,PHI,MIL,1323,2076,84,119,1239,1957,44965.94,PHI,MIL,True
92,2018-04-11,POR,UTA,1051,1706,64,112,987,1594,40051.1,POR,UTA,True
93,2018-04-11,SAC,HOU,7094,13565,6449,12507,722,1058,274897.56,SAC,HOU,True
94,2018-04-10,ATL,PHI,17788,41961,16393,39682,1628,2279,650634.47,ATL,PHI,True
95,2018-04-10,DAL,PHX,3474,6598,3057,5955,458,643,79945.06,DAL,PHX,True
96,2018-04-10,IND,CHA,5558,10561,4970,9743,635,818,137870.19,IND,CHA,True
97,2018-04-10,LAL,HOU,13218,35829,11426,32783,1898,3046,324491.1,LAL,HOU,True
98,2018-04-10,UTA,GSW,28755,65792,26268,61372,2937,4420,1115231.38,UTA,GSW,True
99,2018-04-10,WAS,BOS,12396,32557,11396,31049,1060,1508,366516.83,WAS,BOS,True
100,2018-04-09,BRK,CHI,3106,6511,2635,5814,516,697,89883.92,BRK,CHI,True
101,2018-04-09,DEN,POR,25222,58199,24063,56141,1353,2058,1244435.12,DEN,POR,True
102,2018-04-09,DET,TOR,7379,13742,6602,12611,850,1131,187258.42,DET,TOR,True
103,2018-04-09,LAC,NOP,584,821,32,41,553,780,15135.07,LAC,NOP,True
104,2018-04-09,MIA,OKC,31581,86712,29541,82493,2509,4219,1297490.24,MIA,OKC,True
105,2018-04-09,MIL,ORL,4799,9078,4253,8274,581,804,462876.72,MIL,ORL,True
106,2018-04-09,MIN,MEM,8439,18114,7703,16937,832,1177,246841.72,MIN,MEM,True
107,2018-04-09,NYK,CLE,3447,6529,154,323,3293,6206,164643.31,NYK,CLE,True
108,2018-04-09,SAS,SAC,14246,31611,13303,29543,1228,2068,534294.37,SAS,SAC,True
109,2018-04-08,BOS,ATL,11494,23750,9800,21094,1860,2656,449964.0,BOS,ATL,True
110,2018-04-08,CHA,IND,5595,10446,4443,8778,1231,1668,174970.44,CHA,IND,True
111,2018-04-08,LAL,UTA,18740,40019,16677,36278,2421,3741,874197.47,LAL,UTA,True
112,2018-04-08,MEM,DET,478,595,19,25,459,570,10005.98,MEM,DET,True
113,2018-04-08,PHI,DAL,2484,3531,105,158,2381,3373,73258.85,PHI,DAL,True
114,2018-04-08,PHX,GSW,2457,4548,169,607,2288,3941,113240.96,PHX,GSW,True
115,2018-04-08,TOR,ORL,529,710,27,31,502,679,12520.13,TOR,ORL,True
116,2018-04-07,CHI,BRK,2923,5623,2425,4832,541,791,90180.99,CHI,BRK,True
117,2018-04-07,GSW,NOP,25606,60852,22202,54973,3810,5879,1040318.84,GSW,NOP,True
118,2018-04-07,HOU,OKC,4904,9383,192,563,4714,8820,231567.01,HOU,OKC,True
119,2018-04-07,LAC,DEN,1103,1524,53,88,1050,1436,29235.28,LAC,DEN,True
120,2018-04-07,NYK,MIL,8946,17009,7964,15535,1082,1474,334357.25,NYK,MIL,True
121,2018-04-07,SAS,POR,17348,36444,15308,32572,2375,3872,609718.51,SAS,POR,True
