Season,Home,Away,Date,Attendance,Capacity,Total Full Season Equivalent Non Suite Tickets,Group Non Suite Tickets,Single Game Total Non Suite Tickets,Total Non Suite Tickets
2017-18,BOS,BRK,2018-04-11,18624,18624,14444.0,1284.0,1336.0,17064.0
2017-18,CHI,DET,2018-04-11,21342,20917,9495.0,5199.0,4516.0,19210.0
2017-18,CLE,NYK,2018-04-11,20562,20562,15063.0,2757.0,1311.0,19131.0
2017-18,LAC,LAL,2018-04-11,19068,19068,11261.0,2281.0,1941.0,15483.0
2017-18,MIA,TOR,2018-04-11,19600,19600,13312.0,3587.0,1200.0,18099.0
2017-18,MIN,DEN,2018-04-11,18978,18978,8234.0,4900.0,2630.0,15764.0
2017-18,NOP,SAS,2018-04-11,18573,16903,10262.0,3168.0,2519.0,15949.0
2017-18,OKC,MEM,2018-04-11,18203,18203,14610.0,1661.0,607.0,16878.0
2017-18,ORL,WAS,2018-04-11,17598,18846,6088.0,4080.0,3324.0,13492.0
2017-18,PHI,MIL,2018-04-11,20659,20478,15383.0,1780.0,784.0,17947.0
2017-18,POR,UTA,2018-04-11,20186,19393,12830.0,3087.0,2505.0,18422.0
2017-18,SAC,HOU,2018-04-11,17583,17583,9907.0,1871.0,2823.0,14601.0
2017-18,ATL,PHI,2018-04-10,15673,15711,6618.0,4771.0,1778.0,13167.0
2017-18,DAL,PHX,2018-04-10,20041,19200,11758.0,1582.0,3425.0,16765.0
2017-18,IND,CHA,2018-04-10,17331,17923,7273.0,4024.0,2120.0,13417.0
2017-18,LAL,HOU,2018-04-10,18997,18997,14644.0,210.0,1513.0,16367.0
2017-18,UTA,GSW,2018-04-10,18306,18306,10593.0,787.0,1412.0,12792.0
2017-18,WAS,BOS,2018-04-10,18887,20356,10789.0,6024.0,1551.0,18364.0
2017-18,BRK,CHI,2018-04-09,16187,17732,9339.0,2888.0,1853.0,14080.0
2017-18,DEN,POR,2018-04-09,17467,19520,7143.0,3115.0,2121.0,12379.0
2017-18,DET,TOR,2018-04-09,17529,20491,8646.0,64.0,1288.0,9998.0
2017-18,LAC,NOP,2018-04-09,15742,19068,11063.0,2330.0,946.0,14339.0
2017-18,MIA,OKC,2018-04-09,19600,19600,13268.0,3644.0,1378.0,18290.0
2017-18,MIL,ORL,2018-04-09,18717,18717,8486.0,2123.0,5289.0,15898.0
2017-18,MIN,MEM,2018-04-09,17641,18978,7933.0,4749.0,573.0,13255.0
2017-18,NYK,CLE,2018-04-09,19449,19812,11676.0,693.0,4720.0,17089.0
2017-18,SAS,SAC,2018-04-09,18418,18418,13324.0,2729.0,740.0,16793.0
2017-18,BOS,ATL,2018-04-08,18624,18624,14586.0,1102.0,1531.0,17219.0
2017-18,CHA,IND,2018-04-08,16629,19077,10753.0,1193.0,75.0,12021.0
2017-18,LAL,UTA,2018-04-08,18997,18997,14650.0,338.0,1098.0,16086.0
2017-18,MEM,DET,2018-04-08,16044,17794,9677.0,3135.0,207.0,13019.0
