Unnamed: 0,Date,Home,Away,Unique_Devices,Starts,Live_Unique_Devices,Live_Starts,VOD_Unique_Devices,VOD_Starts,Life_Play_Time,Season,Attendance,Capacity,Total Full Season Equivalent Non Suite Tickets,Group Non Suite Tickets,Single Game Total Non Suite Tickets,Total Non Suite Tickets,dma_home,dma_away,National_Gm_Num,Network,Start_Time,End_Time,Duration_Mins,National_Rating,Average_Viewers_000,Average_Households_000,GM,DAY,ET,LOCAL,AWAY TV,DUR,HH RTG,HH SHR,HH IMP,P2+ IMP,HOME TV,DUR.1,HH RTG.1,HH SHR.1,HH IMP.1,P2+ IMP.1,NAT TV,CN TV,Num_Secondary_Transactions,Avg_Markup_Over_Full_STM_Price
82.0,2018-04-11,BOS,BRK,7049.0,16144.0,5959.0,14367.0,1225.0,1777.0,208799.99,2017-18,18624.0,18624.0,14444.0,1284.0,1336.0,17064.0,2.42,7.35,,,,,,,,,1219,Wed,8:00 PM,8:00 PM,YES,135.0,0.1,0.0,6.0,8.0,NBCSB,135.0,1.8,3,43,61,,,1192.0,16.0%
83.0,2018-04-11,CHI,DET,2310.0,4498.0,1891.0,3843.0,463.0,655.0,63257.23,2017-18,21342.0,20917.0,9495.0,5199.0,4516.0,19210.0,3.46,1.85,,,,,,,,,1224,Wed,7:00 PM,8:00 PM,FSD,135.0,0.8,1.0,14.0,15.0,NBCSCH,135.0,0.7,1,22,28,,,87.0,-40.8%
84.0,2018-04-11,CLE,NYK,21928.0,52029.0,20162.0,49025.0,2063.0,3004.0,706188.42,2017-18,20562.0,20562.0,15063.0,2757.0,1311.0,19131.0,1.5,7.35,,,,,,,,,1220,Wed,8:00 PM,8:00 PM,MSG,135.0,0.6,1.0,44.0,65.0,FSO,135.0,8.4,13,121,161,,,94.0,10.2%
85.0,2018-04-11,LAC,LAL,11848.0,24483.0,10837.0,22609.0,1186.0,1874.0,508550.06,2017-18,19068.0,19068.0,11261.0,2281.0,1941.0,15483.0,5.48,5.48,,,,,,,,,1228,Wed,7:30 PM,10:30 PM,SPECSN/D,135.0,1.3,2.0,71.0,125.0,FSPT,135.0,0.3,0,13,21,,TSN,16.0,59.5%
86.0,2018-04-11,MIA,TOR,14877.0,41430.0,13844.0,39426.0,1266.0,2004.0,482860.57,2017-18,19600.0,19600.0,13312.0,3587.0,1200.0,18099.0,1.7,2.86,,,,,,,,,1221,Wed,8:00 PM,8:00 PM,TSN,,,,,,FSSUN,180.0,4.1,7,68,94,,TSN,1204.0,8.4%
87.0,2018-04-11,MIN,DEN,63512.0,204566.0,61217.0,199822.0,2815.0,4744.0,2831260.93,2017-18,18978.0,18978.0,8234.0,4900.0,2630.0,15764.0,1.74,1.63,277.0,NBA TV,8:00 PM,11:00 PM,180.0,0.65,380.0,300.0,1225,Wed,7:00 PM,8:00 PM,ALT,165.0,3.5,7.0,55.0,69.0,FSNTH,180.0,7.5,13,130,183,,,,
88.0,2018-04-11,NOP,SAS,10420.0,25418.0,9519.0,23935.0,996.0,1483.0,339902.34,2017-18,18573.0,16903.0,10262.0,3168.0,2519.0,15949.0,0.64,0.94,,,,,,,,,1226,Wed,7:00 PM,8:00 PM,FSSW-SA,135.0,6.8,11.0,63.0,,FSNO,150.0,3.46,4.9,22.1,,,,632.0,33.2%
89.0,2018-04-11,OKC,MEM,15342.0,44885.0,13940.0,42082.0,1675.0,2803.0,509218.9,2017-18,18203.0,18203.0,14610.0,1661.0,607.0,16878.0,0.72,0.63,,,,,,,,,1227,Wed,7:00 PM,8:00 PM,FSSE-MEM,120.0,0.5625,1.0,3.75,,FSOK,150.0,11.43,16.9,80.8,,,,863.0,8.5%
90.0,2018-04-11,ORL,WAS,4021.0,9215.0,3673.0,8705.0,374.0,510.0,116259.46,2017-18,17598.0,18846.0,6088.0,4080.0,3324.0,13492.0,1.52,2.48,,,,,,,,,1222,Wed,8:00 PM,8:00 PM,NBCSWA,150.0,1.7,3.0,44.0,58.0,FSFL,165.0,0.2,0,3,4,,,288.0,-11.5%
91.0,2018-04-11,PHI,MIL,1323.0,2076.0,84.0,119.0,1239.0,1957.0,44965.94,2017-18,20659.0,20478.0,15383.0,1780.0,784.0,17947.0,2.94,0.9,276.0,ESPN,8:00 PM,10:35 PM,155.0,0.9,1039.0,816.0,1223,Wed,8:00 PM,8:00 PM,FSWIS,150.0,1.8,3.0,16.0,,NBCSPA,150.0,2.5,4,71,95,ESPN,,,
92.0,2018-04-11,POR,UTA,1051.0,1706.0,64.0,112.0,987.0,1594.0,40051.1,2017-18,20186.0,19393.0,12830.0,3087.0,2505.0,18422.0,1.14,0.92,278.0,ESPN,10:35 PM,12:58 AM,143.0,1.0,1109.0,886.0,1229,Wed,7:30 PM,10:30 PM,ATTSN-RM,150.0,6.46,13.0,61.2,,NBCSNW,165.0,4.1,8,49,69,ESPN,NBAC,673.0,45.0%
93.0,2018-04-11,SAC,HOU,7094.0,13565.0,6449.0,12507.0,722.0,1058.0,274897.56,2017-18,17583.0,17583.0,9907.0,1871.0,2823.0,14601.0,1.38,2.45,,,,,,,,,1230,Wed,7:30 PM,10:30 PM,ATTSN-SW,135.0,1.5,3.0,36.0,50.0,NBCSCA,135.0,1.8,3,25,31,,,518.0,-14.0%
94.0,2018-04-10,ATL,PHI,17788.0,41961.0,16393.0,39682.0,1628.0,2279.0,650634.47,2017-18,15673.0,15711.0,6618.0,4771.0,1778.0,13167.0,2.41,2.94,,,,,,,,,1214,Tue,7:30 PM,7:30 PM,NBCSPA,150.0,3.8,6.0,108.0,136.0,FSSE-ATL,150.0,0.4,1,10,14,,,214.0,-32.8%
95.0,2018-04-10,DAL,PHX,3474.0,6598.0,3057.0,5955.0,458.0,643.0,79945.06,2017-18,20041.0,19200.0,11758.0,1582.0,3425.0,16765.0,2.71,1.89,,,,,,,,,1216,Tue,7:30 PM,8:30 PM,FSA,135.0,0.5,1.0,9.0,12.0,,,,,,,,,433.0,8.5%
96.0,2018-04-10,IND,CHA,5558.0,10561.0,4970.0,9743.0,635.0,818.0,137870.19,2017-18,17331.0,17923.0,7273.0,4024.0,2120.0,13417.0,1.09,1.19,,,,,,,,,1213,Tue,7:00 PM,7:00 PM,FSSE-CHA,120.0,0.375,1.0,4.25,4.37,FSIND,120.0,3.4,6,35,,,NBAC,254.0,-6.5%
97.0,2018-04-10,LAL,HOU,13218.0,35829.0,11426.0,32783.0,1898.0,3046.0,324491.1,2017-18,18997.0,18997.0,14644.0,210.0,1513.0,16367.0,5.48,2.45,275.0,TNT,0.941666667,0.036805556,138.0,1.003445762,1114.0,907.0,1218,Tue,7:30 PM,10:30 PM,ATTSN-SW,150.0,1.8,4.0,44.0,59.0,SPECSN/D,135.0,1.1,2,59,80,TNT,SN1,1216.0,26.6%
98.0,2018-04-10,UTA,GSW,28755.0,65792.0,26268.0,61372.0,2937.0,4420.0,1115231.38,2017-18,18306.0,18306.0,10593.0,787.0,1412.0,12792.0,0.92,2.49,,,,,,,,,1217,Tue,7:00 PM,9:00 PM,NBCSBA,135.0,4.5,9.0,110.0,147.0,ATTSN-RM,150.0,9.59,19.7,91.1,,,TSN2,239.0,142.7%
99.0,2018-04-10,WAS,BOS,12396.0,32557.0,11396.0,31049.0,1060.0,1508.0,366516.83,2017-18,18887.0,20356.0,10789.0,6024.0,1551.0,18364.0,2.48,2.42,274.0,TNT,0.843055556,0.940972222,142.0,1.1,1204.0,975.0,1215,Tue,8:00 PM,8:00 PM,NBCSB,150.0,1.4,2.0,34.0,41.0,,,,,,,TNT,SN1,889.0,36.5%
