Unnamed: 0,Date,Home,Away,Unique_Devices,Starts,Live_Unique_Devices,Live_Starts,VOD_Unique_Devices,VOD_Starts,Life_Play_Time,Season,Attendance,Capacity,Total Full Season Equivalent Non Suite Tickets,Group Non Suite Tickets,Single Game Total Non Suite Tickets,Total Non Suite Tickets
82.0,2018-04-11,BOS,BRK,7049.0,16144.0,5959.0,14367.0,1225.0,1777.0,208799.99,2017-18,18624.0,18624.0,14444.0,1284.0,1336.0,17064.0
83.0,2018-04-11,CHI,DET,2310.0,4498.0,1891.0,3843.0,463.0,655.0,63257.23,2017-18,21342.0,20917.0,9495.0,5199.0,4516.0,19210.0
84.0,2018-04-11,CLE,NYK,21928.0,52029.0,20162.0,49025.0,2063.0,3004.0,706188.42,2017-18,20562.0,20562.0,15063.0,2757.0,1311.0,19131.0
85.0,2018-04-11,LAC,LAL,11848.0,24483.0,10837.0,22609.0,1186.0,1874.0,508550.06,2017-18,19068.0,19068.0,11261.0,2281.0,1941.0,15483.0
86.0,2018-04-11,MIA,TOR,14877.0,41430.0,13844.0,39426.0,1266.0,2004.0,482860.57,2017-18,19600.0,19600.0,13312.0,3587.0,1200.0,18099.0
87.0,2018-04-11,MIN,DEN,63512.0,204566.0,61217.0,199822.0,2815.0,4744.0,2831260.93,2017-18,18978.0,18978.0,8234.0,4900.0,2630.0,15764.0
88.0,2018-04-11,NOP,SAS,10420.0,25418.0,9519.0,23935.0,996.0,1483.0,339902.34,2017-18,18573.0,16903.0,10262.0,3168.0,2519.0,15949.0
89.0,2018-04-11,OKC,MEM,15342.0,44885.0,13940.0,42082.0,1675.0,2803.0,509218.9,2017-18,18203.0,18203.0,14610.0,1661.0,607.0,16878.0
90.0,2018-04-11,ORL,WAS,4021.0,9215.0,3673.0,8705.0,374.0,510.0,116259.46,2017-18,17598.0,18846.0,6088.0,4080.0,3324.0,13492.0
91.0,2018-04-11,PHI,MIL,1323.0,2076.0,84.0,119.0,1239.0,1957.0,44965.94,2017-18,20659.0,20478.0,15383.0,1780.0,784.0,17947.0
92.0,2018-04-11,POR,UTA,1051.0,1706.0,64.0,112.0,987.0,1594.0,40051.1,2017-18,20186.0,19393.0,12830.0,3087.0,2505.0,18422.0
93.0,2018-04-11,SAC,HOU,7094.0,13565.0,6449.0,12507.0,722.0,1058.0,274897.56,2017-18,17583.0,17583.0,9907.0,1871.0,2823.0,14601.0
94.0,2018-04-10,ATL,PHI,17788.0,41961.0,16393.0,39682.0,1628.0,2279.0,650634.47,2017-18,15673.0,15711.0,6618.0,4771.0,1778.0,13167.0
95.0,2018-04-10,DAL,PHX,3474.0,6598.0,3057.0,5955.0,458.0,643.0,79945.06,2017-18,20041.0,19200.0,11758.0,1582.0,3425.0,16765.0
96.0,2018-04-10,IND,CHA,5558.0,10561.0,4970.0,9743.0,635.0,818.0,137870.19,2017-18,17331.0,17923.0,7273.0,4024.0,2120.0,13417.0
97.0,2018-04-10,LAL,HOU,13218.0,35829.0,11426.0,32783.0,1898.0,3046.0,324491.1,2017-18,18997.0,18997.0,14644.0,210.0,1513.0,16367.0
98.0,2018-04-10,UTA,GSW,28755.0,65792.0,26268.0,61372.0,2937.0,4420.0,1115231.38,2017-18,18306.0,18306.0,10593.0,787.0,1412.0,12792.0
99.0,2018-04-10,WAS,BOS,12396.0,32557.0,11396.0,31049.0,1060.0,1508.0,366516.83,2017-18,18887.0,20356.0,10789.0,6024.0,1551.0,18364.0
100.0,2018-04-09,BRK,CHI,3106.0,6511.0,2635.0,5814.0,516.0,697.0,89883.92,2017-18,16187.0,17732.0,9339.0,2888.0,1853.0,14080.0
101.0,2018-04-09,DEN,POR,25222.0,58199.0,24063.0,56141.0,1353.0,2058.0,1244435.12,2017-18,17467.0,19520.0,7143.0,3115.0,2121.0,12379.0
102.0,2018-04-09,DET,TOR,7379.0,13742.0,6602.0,12611.0,850.0,1131.0,187258.42,2017-18,17529.0,20491.0,8646.0,64.0,1288.0,9998.0
103.0,2018-04-09,LAC,NOP,584.0,821.0,32.0,41.0,553.0,780.0,15135.07,2017-18,15742.0,19068.0,11063.0,2330.0,946.0,14339.0
104.0,2018-04-09,MIA,OKC,31581.0,86712.0,29541.0,82493.0,2509.0,4219.0,1297490.24,2017-18,19600.0,19600.0,13268.0,3644.0,1378.0,18290.0
105.0,2018-04-09,MIL,ORL,4799.0,9078.0,4253.0,8274.0,581.0,804.0,462876.72,2017-18,18717.0,18717.0,8486.0,2123.0,5289.0,15898.0
106.0,2018-04-09,MIN,MEM,8439.0,18114.0,7703.0,16937.0,832.0,1177.0,246841.72,2017-18,17641.0,18978.0,7933.0,4749.0,573.0,13255.0
107.0,2018-04-09,NYK,CLE,3447.0,6529.0,154.0,323.0,3293.0,6206.0,164643.31,2017-18,19449.0,19812.0,11676.0,693.0,4720.0,17089.0
108.0,2018-04-09,SAS,SAC,14246.0,31611.0,13303.0,29543.0,1228.0,2068.0,534294.37,2017-18,18418.0,18418.0,13324.0,2729.0,740.0,16793.0
109.0,2018-04-08,BOS,ATL,11494.0,23750.0,9800.0,21094.0,1860.0,2656.0,449964.0,2017-18,18624.0,18624.0,14586.0,1102.0,1531.0,17219.0
110.0,2018-04-08,CHA,IND,5595.0,10446.0,4443.0,8778.0,1231.0,1668.0,174970.44,2017-18,16629.0,19077.0,10753.0,1193.0,75.0,12021.0
111.0,2018-04-08,LAL,UTA,18740.0,40019.0,16677.0,36278.0,2421.0,3741.0,874197.47,2017-18,18997.0,18997.0,14650.0,338.0,1098.0,16086.0
112.0,2018-04-08,MEM,DET,478.0,595.0,19.0,25.0,459.0,570.0,10005.98,2017-18,16044.0,17794.0,9677.0,3135.0,207.0,13019.0
113.0,2018-04-08,PHI,DAL,2484.0,3531.0,105.0,158.0,2381.0,3373.0,73258.85,2017-18,20846.0,20478.0,15316.0,2297.0,676.0,18289.0
114.0,2018-04-08,PHX,GSW,2457.0,4548.0,169.0,607.0,2288.0,3941.0,113240.96,2017-18,18055.0,18055.0,6577.0,2318.0,3520.0,12415.0
115.0,2018-04-08,TOR,ORL,529.0,710.0,27.0,31.0,502.0,679.0,12520.13,2017-18,19948.0,19800.0,14695.0,1596.0,1957.0,18248.0
116.0,2018-04-07,CHI,BRK,2923.0,5623.0,2425.0,4832.0,541.0,791.0,90180.99,2017-18,21669.0,20917.0,9675.0,5543.0,4213.0,19431.0
117.0,2018-04-07,GSW,NOP,25606.0,60852.0,22202.0,54973.0,3810.0,5879.0,1040318.84,2017-18,19596.0,19596.0,14729.0,1849.0,1408.0,17986.0
118.0,2018-04-07,HOU,OKC,4904.0,9383.0,192.0,563.0,4714.0,8820.0,231567.01,2017-18,18055.0,18055.0,12131.0,1342.0,2623.0,16096.0
119.0,2018-04-07,LAC,DEN,1103.0,1524.0,53.0,88.0,1050.0,1436.0,29235.28,2017-18,16166.0,19068.0,11131.0,3645.0,625.0,15401.0
120.0,2018-04-07,NYK,MIL,8946.0,17009.0,7964.0,15535.0,1082.0,1474.0,334357.25,2017-18,19812.0,19812.0,11391.0,2852.0,3554.0,17797.0
121.0,2018-04-07,SAS,POR,17348.0,36444.0,15308.0,32572.0,2375.0,3872.0,609718.51,2017-18,18610.0,18418.0,12824.0,2932.0,1093.0,16849.0
122.0,2018-04-06,BOS,CHI,12347.0,27792.0,10353.0,24086.0,2323.0,3706.0,453937.36,2017-18,18624.0,18624.0,14565.0,848.0,1806.0,17219.0
123.0,2018-04-06,DET,DAL,4240.0,7896.0,3525.0,6861.0,782.0,1035.0,100159.68,2017-18,18768.0,20491.0,8370.0,5093.0,1235.0,14698.0
124.0,2018-04-06,LAL,MIN,1622.0,2544.0,73.0,115.0,1549.0,2429.0,60888.22,2017-18,18997.0,18997.0,14646.0,391.0,1303.0,16340.0
125.0,2018-04-06,MEM,SAC,4399.0,7799.0,3839.0,6939.0,624.0,860.0,112840.85,2017-18,16527.0,17794.0,10291.0,2611.0,480.0,13382.0
126.0,2018-04-06,NYK,MIA,6348.0,14397.0,5365.0,12696.0,1113.0,1701.0,234292.77,2017-18,19569.0,19812.0,11322.0,769.0,5438.0,17529.0
127.0,2018-04-06,ORL,CHA,1788.0,3183.0,1341.0,2615.0,465.0,568.0,35267.89,2017-18,17018.0,18846.0,6010.0,4573.0,2987.0,13570.0
128.0,2018-04-06,PHI,CLE,8939.0,15934.0,456.0,828.0,8485.0,15106.0,438036.17,2017-18,20769.0,20478.0,15179.0,2335.0,1131.0,18645.0
129.0,2018-04-06,PHX,NOP,6746.0,13540.0,6205.0,12754.0,602.0,786.0,269835.85,2017-18,18055.0,18055.0,5861.0,5695.0,909.0,12465.0
130.0,2018-04-06,TOR,IND,6437.0,12843.0,5592.0,11558.0,929.0,1285.0,215286.73,2017-18,19924.0,19800.0,14656.0,1766.0,1841.0,18263.0
131.0,2018-04-06,WAS,ATL,3805.0,7030.0,3257.0,6310.0,581.0,720.0,93300.16,2017-18,19557.0,20356.0,9888.0,2242.0,2630.0,14760.0
132.0,2018-04-05,CLE,WAS,28700.0,92449.0,24708.0,84428.0,4383.0,8021.0,931415.29,2017-18,20562.0,20562.0,15004.0,2900.0,1185.0,19089.0
133.0,2018-04-05,DEN,MIN,9627.0,24845.0,8651.0,23435.0,1021.0,1410.0,238384.57,2017-18,16415.0,19520.0,5693.0,2455.0,3173.0,11321.0
134.0,2018-04-05,HOU,POR,17308.0,36411.0,14336.0,31265.0,3345.0,5146.0,561945.25,2017-18,18055.0,18055.0,12232.0,2266.0,1110.0,15608.0
