Season,Home,Away,Date,Attendance,Capacity,Total Full Season Equivalent Non Suite Tickets,Group Non Suite Tickets,Single Game Total Non Suite Tickets,Total Non Suite Tickets
2017-18,BOS,BRK,2018-04-11,18624,18624,14444,1284,1336,17064
2017-18,CHI,DET,2018-04-11,21342,20917,9495,5199,4516,19210
2017-18,CLE,NYK,2018-04-11,20562,20562,15063,2757,1311,19131
2017-18,LAC,LAL,2018-04-11,19068,19068,11261,2281,1941,15483
2017-18,MIA,TOR,2018-04-11,19600,19600,13312,3587,1200,18099
2017-18,MIN,DEN,2018-04-11,18978,18978,8234,4900,2630,15764
2017-18,NOP,SAS,2018-04-11,18573,16903,10262,3168,2519,15949
2017-18,OKC,MEM,2018-04-11,18203,18203,14610,1661,607,16878
2017-18,ORL,WAS,2018-04-11,17598,18846,6088,4080,3324,13492
2017-18,PHI,MIL,2018-04-11,20659,20478,15383,1780,784,17947
2017-18,POR,UTA,2018-04-11,20186,19393,12830,3087,2505,18422
2017-18,SAC,HOU,2018-04-11,17583,17583,9907,1871,2823,14601
2017-18,ATL,PHI,2018-04-10,15673,15711,6618,4771,1778,13167
2017-18,DAL,PHX,2018-04-10,20041,19200,11758,1582,3425,16765
2017-18,IND,CHA,2018-04-10,17331,17923,7273,4024,2120,13417
2017-18,LAL,HOU,2018-04-10,18997,18997,14644,210,1513,16367
2017-18,UTA,GSW,2018-04-10,18306,18306,10593,787,1412,12792
2017-18,WAS,BOS,2018-04-10,18887,20356,10789,6024,1551,18364
2017-18,BRK,CHI,2018-04-09,16187,17732,9339,2888,1853,14080
2017-18,DEN,POR,2018-04-09,17467,19520,7143,3115,2121,12379
2017-18,DET,TOR,2018-04-09,17529,20491,8646,64,1288,9998
2017-18,LAC,NOP,2018-04-09,15742,19068,11063,2330,946,14339
2017-18,MIA,OKC,2018-04-09,19600,19600,13268,3644,1378,18290
2017-18,MIL,ORL,2018-04-09,18717,18717,8486,2123,5289,15898
2017-18,MIN,MEM,2018-04-09,17641,18978,7933,4749,573,13255
2017-18,NYK,CLE,2018-04-09,19449,19812,11676,693,4720,17089
2017-18,SAS,SAC,2018-04-09,18418,18418,13324,2729,740,16793
2017-18,BOS,ATL,2018-04-08,18624,18624,14586,1102,1531,17219
2017-18,CHA,IND,2018-04-08,16629,19077,10753,1193,75,12021
2017-18,LAL,UTA,2018-04-08,18997,18997,14650,338,1098,16086
2017-18,MEM,DET,2018-04-08,16044,17794,9677,3135,207,13019
2017-18,PHI,DAL,2018-04-08,20846,20478,15316,2297,676,18289
2017-18,PHX,GSW,2018-04-08,18055,18055,6577,2318,3520,12415
2017-18,TOR,ORL,2018-04-08,19948,19800,14695,1596,1957,18248
2017-18,CHI,BRK,2018-04-07,21669,20917,9675,5543,4213,19431
2017-18,GSW,NOP,2018-04-07,19596,19596,14729,1849,1408,17986
2017-18,HOU,OKC,2018-04-07,18055,18055,12131,1342,2623,16096
2017-18,LAC,DEN,2018-04-07,16166,19068,11131,3645,625,15401
2017-18,NYK,MIL,2018-04-07,19812,19812,11391,2852,3554,17797
2017-18,SAS,POR,2018-04-07,18610,18418,12824,2932,1093,16849
2017-18,BOS,CHI,2018-04-06,18624,18624,14565,848,1806,17219
2017-18,DET,DAL,2018-04-06,18768,20491,8370,5093,1235,14698
2017-18,LAL,MIN,2018-04-06,18997,18997,14646,391,1303,16340
