Team,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18
ATL,18047,18047,18047,18047,18047,18047,18047,15711
BOS,18624,18624,18624,18624,18624,18624,18624,18624
BRK,20049,20049,17732,17732,17732,17732,17732,17732
CHA,19077,19077,19077,19077,19077,19077,19077,19077
CHI,20917,20917,20917,20917,20917,20917,20917,20917
CLE,20562,20562,20562,20562,20562,20562,20562,20562
DAL,19200,19200,19200,19200,19200,19200,19200,19200
DEN,19155,19155,19155,19155,19155,19155,19718,19520
DET,19971,19971,19971,19971,19971,19971,21012,20491
GSW,19596,19596,19596,19596,19596,19596,19596,19596
HOU,18055,18055,18055,18055,18055,18055,18055,18055
IND,18165,18165,18165,18165,18165,18165,17923,17923
LAC,19060,19060,19060,19060,19060,19060,19060,19068
LAL,18997,18997,18997,18997,18997,18997,18997,18997
MEM,18119,18119,18119,18119,18119,18119,18119,17794
MIA,19600,19600,19600,19600,19600,19600,19600,19600
MIL,18717,18717,18717,18717,18717,18717,18717,18717
MIN,19356,19356,19356,19356,19356,19356,19356,18978
NOP,16867,16867,16867,16867,16867,16867,16903,16903
NYK,19812,19812,19812,19812,19812,19812,19812,19812
OKC,18203,18203,18203,18203,18203,18203,18203,18203
ORL,18846,18846,18846,18846,18846,18846,18846,18846
PHI,20328,20328,20328,20328,20328,20328,20432,20478
PHX,19023,19023,19023,19023,19023,18055,18055,18055
POR,21538,21538,21538,21538,19393,19393,19393,19393
SAC,17317,17317,17317,17317,17317,17317,17608,17583
SAS,18418,18418,18418,18418,18418,18418,18418,18418
TOR,19800,19800,19800,19800,19800,19800,19800,19800
UTA,19911,19911,19911,19911,19911,19911,19911,18306
WAS,20356,20356,20356,20356,20356,20356,20356,20356
