Date,Subscriber_Count_Type,League Pass,Team Choice,Game Choice,Total
9/1/2016,Active,149658,0,0,149658
9/1/2016,Gross,150280,0,0,150280
9/1/2016,Cancelled,-622,0,0,-622
10/1/2016,Active,88134,0,0,88134
10/1/2016,Gross,234994,0,0,234994
10/1/2016,Cancelled,-146860,0,0,-146860
11/1/2016,Active,132778,6736,6886,146400
11/1/2016,Gross,303140,7503,9826,320469
11/1/2016,Cancelled,-170362,-767,-2940,-174069
12/1/2016,Active,137274,10069,10954,158297
12/1/2016,Gross,317277,11764,15775,344816
12/1/2016,Cancelled,-180003,-1695,-4821,-186519
1/1/2017,Active,141023,11482,13623,166128
1/1/2017,Gross,372151,15403,20791,408345
1/1/2017,Cancelled,-231128,-3921,-7168,-242217
2/1/2017,Active,141853,12446,15434,169733
2/1/2017,Gross,385022,17783,25739,428544
2/1/2017,Cancelled,-243169,-5337,-10305,-258811
3/1/2017,Active,141765,12663,16312,170740
3/1/2017,Gross,392727,19393,29100,441220
3/1/2017,Cancelled,-250962,-6730,-12788,-270480
4/1/2017,Active,145346,13050,17511,175907
4/1/2017,Gross,407210,21472,33565,462247
4/1/2017,Cancelled,-261864,-8422,-16054,-286340
5/1/2017,Active,170032,11439,15833,197304
5/1/2017,Gross,452687,21932,34505,509124
5/1/2017,Cancelled,-282655,-10493,-18672,-311820
6/1/2017,Active,181770,9887,13989,205646
6/1/2017,Gross,478013,21932,34526,534471
6/1/2017,Cancelled,-296243,-12045,-20537,-328825
7/1/2017,Active,167412,8826,12151,188389
7/1/2017,Gross,489572,21932,34534,546038
7/1/2017,Cancelled,-322160,-13106,-22383,-357649
8/1/2017,Active,150840,8008,10442,169290
8/1/2017,Gross,493963,21932,34534,550429
8/1/2017,Cancelled,-343123,-13924,-24092,-381139
9/1/2017,Active,142623,7522,9498,159643
9/1/2017,Gross,143115,7563,9524,160202
9/1/2017,Cancelled,-492,-41,-26,-559
10/1/2017,Active,103067,6700,8326,118093
10/1/2017,Gross,221519,11565,11371,244455
10/1/2017,Cancelled,-118452,-4865,-3045,-126362
11/1/2017,Active,156392,16209,16987,189588
11/1/2017,Gross,328521,25688,27147,381356
11/1/2017,Cancelled,-172129,-9479,-10160,-191768
12/1/2017,Active,163653,18766,19112,201531
12/1/2017,Gross,366981,30371,31404,428756
12/1/2017,Cancelled,-203328,-11605,-12292,-227225
1/1/2018,Active,167277,20141,20879,208297
1/1/2018,Gross,391632,33520,34864,460016
1/1/2018,Cancelled,-224355,-13379,-13985,-251719
2/1/2018,Active,171088,20928,21943,213959
2/1/2018,Gross,431888,36982,39138,508008
2/1/2018,Cancelled,-260800,-16054,-17195,-294049
3/1/2018,Active,166117,20796,22163,209076
3/1/2018,Gross,453693,38785,41098,533576
3/1/2018,Cancelled,-287576,-17989,-18935,-324500
4/1/2018,Active,168041,20946,22642,211629
4/1/2018,Gross,466110,41105,44019,551234
4/1/2018,Cancelled,-298069,-20159,-21377,-339605
5/1/2018,Active,195639,18546,21280,235465
5/1/2018,Gross,504391,41520,44567,590478
5/1/2018,Cancelled,-308752,-22974,-23287,-355013
6/1/2018,Active,202215,16378,19855,238448
6/1/2018,Gross,521903,41542,44573,608018
6/1/2018,Cancelled,-319688,-25164,-24718,-369570
7/1/2018,Active,189450,14843,18191,222484
7/1/2018,Gross,524671,41547,44573,610791
7/1/2018,Cancelled,-335221,-26704,-26382,-388307
