Year,Month,Team,Followers_Facebook,Followers_Twitter,Followers_Instagram,Followers_Snapchat,Followers_Weibo,Engagements_Facebook,Engagements_Twitter,Engagements_Instagram,Impressions_Facebook,Impressions_Twitter
2016,9,ATL,1594980,676197,553033,27473,13150,1541392,192358,274895,17963762,8152652
2016,9,BOS,8773450,1965007,1182441,44107,15963,2761483,340744,769445,48848592,13499531
2016,9,BRK,2791000,680065,559419,15531,1292588,441951,109599,68435,8706073,4815980
2016,9,CHA,1732573,586799,652194,21876,520086,230125,93343,180034,6031601,3975016
2016,9,CHI,18768015,2889109,2597211,141698,1289159,3827364,437393,1401979,98907495,15337652
2016,9,CLE,7199694,1504682,3512519,170779,1889202,5716455,684222,3192232,98294052,19660588
2016,9,DAL,4519325,1002380,620150,20239,797868,1131587,211827,125755,23154666,8071398
2016,9,DEN,1956208,521510,432587,11347,495183,336531,135106,95864,7962047,3433771
2016,9,DET,1852584,578934,516474,19499,495109,406830,105779,228951,14200506,7881006
2016,9,GSW,9212273,2455285,5255608,263798,2502008,16355943,1860983,4437666,235679995,58192190
2016,9,HOU,3806063,1176148,1353874,39727,1833864,1504741,262133,748600,24150690,8425132
2016,9,IND,3310069,789581,884744,22798,501577,836421,210503,310635,16334690,7437168
2016,9,LAC,3837646,988003,1510612,68796,1607000,5725047,124809,379441,47294438,4785659
2016,9,LAL,21850350,5248586,3091858,102020,2064966,1897291,863921,1815429,96328430,29207620
2016,9,MEM,1808908,617470,448142,15621,16665,259751,130971,109800,6616318,3955906
2016,9,MIA,16201108,3566600,2764880,71204,1545734,2468227,459337,1035324,47979691,14481469
2016,9,MIL,1410402,519517,591184,43051,780789,2892240,275028,513047,37753947,12331327
2016,9,MIN,1832322,512381,583324,14004,787710,782975,355668,284149,21458688,6659587
2016,9,NOP,1628226,519697,606426,12947,505217,537199,179025,250636,10807865,5728543
2016,9,NYK,6107973,1526610,1336737,33150,1295581,6274572,354283,893946,66498872,16336672
2016,9,OKC,6723534,1420255,2258940,69985,1347831,1890846,168027,1300928,28090870,10371118
2016,9,ORL,2762651,1391720,495221,n/a,1151808,1779151,38621,197367,17586928,3375726
2016,9,PHI,1517868,717068,534517,20931,782815,2278621,649614,421697,28486924,14958133
2016,9,PHX,1888589,582642,500767,16930,9219,197518,172757,180713,8743584,5060450
2016,9,POR,2386240,636570,712810,54997,14875,1101695,150843,294725,22082887,5860175
2016,9,SAC,1751396,517460,527986,15816,504824,1734812,191831,339339,24866019,6113919
2016,9,SAS,6948712,1587737,1392904,83542,1401591,5022247,488253,856683,74638885,14264331
2016,9,TOR,2164586,1239520,860483,38883,1402404,161359,157334,524495,13019428,7719701
2016,9,UTA,1162229,508416,384133,12617,507717,486978,162646,132285,7155479,3759574
2016,9,WAS,1522628,528481,544269,21296,29392,825603,220306,386703,12106958,7480573
2016,10,ATL,1602127,716224,566228,28676,13445,2658714,768896,386087,27392321,15174493
2016,10,BOS,8770179,1989239,1204941,46847,16349,4566267,1592965,2040368,76248286,33773615
2016,10,BRK,2798486,687074,572923,17632,1294592,1289573,415863,165336,19796083,10795525
2016,10,CHA,1735953,600694,657579,22868,518686,15245101,699964,597782,94439630,13093513
2016,10,CHI,18815620,2970897,2672492,146878,1291602,29907553,3136530,3363659,407640071,50947314
2016,10,CLE,7373921,1558838,3631342,178338,1908549,18778596,5011838,9262516,250714907,61559165
2016,10,DAL,4521674,1030996,628795,22192,798706,3477189,860752,309080,50295498,16559063
2016,10,DEN,1956693,531571,442988,12058,495214,1110416,439446,193418,14952195,8713234
2016,10,DET,1861581,594423,526263,20927,494980,1057495,694262,468786,26736743,14295220
