Season,GM,DAY,DATE,ET,LOCAL,AWAY,HOME,AWAY TV,DUR,HH RTG,HH SHR,HH IMP,P2+ IMP,HOME TV,DUR.1,HH RTG.1,HH SHR.1,HH IMP.1,P2+ IMP.1,NAT TV,CN TV
2017-18,1,Tue,2017-10-17,8:00 PM,8:00 PM,BOS,CLE,,,,,,,,,,,,,TNT,TSN
2017-18,2,Tue,2017-10-17,7:30 PM,10:30 PM,HOU,GSW,,,,,,,,,,,,,TNT,TSN
2017-18,3,Wed,2017-10-18,7:00 PM,7:00 PM,CHA,DET,FSSE-CHA,150.0,1.11,1.9,12.9,16.0,FSD,150.0,2.2,4,39,51,,
2017-18,4,Wed,2017-10-18,7:00 PM,7:00 PM,BRK,IND,YES,150.0,0.6,1.0,43.0,76.0,FSIND,150.0,3.8,6,39,,,
2017-18,5,Wed,2017-10-18,7:00 PM,7:00 PM,MIA,ORL,FSSUN,150.0,3.1,6.0,52.0,65.0,FSFL,150.0,1.4,2,22,29,,
2017-18,6,Wed,2017-10-18,7:00 PM,7:00 PM,PHI,WAS,,,,,,,,,,,,,ESPN,TSN
2017-18,7,Wed,2017-10-18,7:30 PM,7:30 PM,MIL,BOS,FSWIS,150.0,2.8,5.0,24.0,,NBCSB,150.0,5.2,9,126,186,,NBAC
2017-18,8,Wed,2017-10-18,7:00 PM,8:00 PM,NOP,MEM,FSNO,150.0,1.56,2.4,9.9,,FSSE-MEM,165.0,2.3,3.25,15,,,
2017-18,9,Wed,2017-10-18,7:30 PM,8:30 PM,ATL,DAL,FSSE-ATL,150.0,1.1,2.0,27.0,29.0,FSSW-DAL,150.0,1.9,3,50,66,,
2017-18,10,Wed,2017-10-18,7:00 PM,9:00 PM,DEN,UTA,ALT,150.0,0.7,1.0,12.0,17.0,ATTSN-RM,150.0,4.9,9.6,46.5,,,
2017-18,11,Wed,2017-10-18,8:30 PM,9:30 PM,MIN,SAS,FSNTH,150.0,2.4,5.0,41.0,66.0,KENS,150.0,6.6,12,61,,ESPN,TSN
2017-18,12,Wed,2017-10-18,7:00 PM,10:00 PM,POR,PHX,NBCSNW,150.0,3.7,6.0,43.0,56.0,FSA,150.0,0.7,1,14,18,,NBAC
2017-18,13,Wed,2017-10-18,7:00 PM,10:00 PM,HOU,SAC,ATTSN-SW,150.0,2.3,4.0,57.0,72.0,NBCSCA,150.0,2,3,28,40,,
2017-18,14,Thu,2017-10-19,7:30 PM,7:30 PM,CHI,TOR,NBCSCH,150.0,1,2.0,32.0,48.0,TSN,,,,,,,TSN
2017-18,15,Thu,2017-10-19,7:00 PM,8:00 PM,NYK,OKC,,,,,,,,,,,,,TNT,TSN2
