Season,Home,Away,Date,Num_Secondary_Transactions,Avg_Markup_Over_Full_STM_Price
2017-18,BOS,BRK,2018-04-11,1192,16.0%
2017-18,CHI,DET,2018-04-11,87,-40.8%
2017-18,CLE,NYK,2018-04-11,94,10.2%
2017-18,LAC,LAL,2018-04-11,16,59.5%
2017-18,MIA,TOR,2018-04-11,1204,8.4%
2017-18,NOP,SAS,2018-04-11,632,33.2%
2017-18,OKC,MEM,2018-04-11,863,8.5%
2017-18,ORL,WAS,2018-04-11,288,-11.5%
2017-18,POR,UTA,2018-04-11,673,45.0%
2017-18,SAC,HOU,2018-04-11,518,-14.0%
2017-18,ATL,PHI,2018-04-10,214,-32.8%
2017-18,DAL,PHX,2018-04-10,433,8.5%
2017-18,IND,CHA,2018-04-10,254,-6.5%
2017-18,LAL,HOU,2018-04-10,1216,26.6%
2017-18,UTA,GSW,2018-04-10,239,142.7%
2017-18,WAS,BOS,2018-04-10,889,36.5%
2017-18,DET,TOR,2018-04-09,5,-40.0%
2017-18,LAC,NOP,2018-04-09,7,-53.9%
2017-18,MIA,OKC,2018-04-09,1183,62.1%
2017-18,MIL,ORL,2018-04-09,18,-52.5%
2017-18,NYK,CLE,2018-04-09,851,-42.0%
2017-18,SAS,SAC,2018-04-09,666,-13.8%
2017-18,BOS,ATL,2018-04-08,1272,72.5%
2017-18,CHA,IND,2018-04-08,143,10.9%
2017-18,LAL,UTA,2018-04-08,1169,3.6%
2017-18,MEM,DET,2018-04-08,238,-31.1%
2017-18,PHX,GSW,2018-04-08,378,75.3%
2017-18,TOR,ORL,2018-04-08,1164,69.8%
2017-18,CHI,BRK,2018-04-07,148,-31.1%
2017-18,GSW,NOP,2018-04-07,2750,43.1%
2017-18,HOU,OKC,2018-04-07,110,138.1%
2017-18,LAC,DEN,2018-04-07,6,-44.2%
2017-18,NYK,MIL,2018-04-07,790,-70.2%
2017-18,SAS,POR,2018-04-07,1025,29.9%
2017-18,BOS,CHI,2018-04-06,1581,112.7%
2017-18,DET,DAL,2018-04-06,4,-17.3%
2017-18,LAL,MIN,2018-04-06,1350,14.2%
2017-18,MEM,SAC,2018-04-06,263,-24.7%
2017-18,NYK,MIA,2018-04-06,803,-68.3%
2017-18,ORL,CHA,2018-04-06,300,-21.1%
2017-18,PHX,NOP,2018-04-06,232,-2.8%
2017-18,TOR,IND,2018-04-06,1136,90.9%
2017-18,WAS,ATL,2018-04-06,781,-15.9%
2017-18,CLE,WAS,2018-04-05,101,25.4%
2017-18,HOU,POR,2018-04-05,48,23.8%
2017-18,IND,GSW,2018-04-05,373,205.5%
2017-18,MIL,BRK,2018-04-05,19,-53.1%
