Season,Rank,Team_Start_of_Season,Player
2018-19,1,GSW,Stephen Curry
2018-19,2,LAL,LeBron James
2018-19,3,GSW,Kevin Durant
2018-19,4,BOS,Kyrie Irving
2018-19,5,HOU,James Harden
2018-19,6,BOS,Jayson Tatum
2018-19,7,MIL,Giannis Antetokounmpo
2018-19,8,PHI,Ben Simmons
2018-19,9,GSW,Klay Thompson
2018-19,10,OKC,Russell Westbrook
2018-19,11,PHI,Joel Embiid
2018-19,12,TOR,Kawhi Leonard
2018-19,13,SAS,DeMar DeRozan
2018-19,14,OKC,Paul George
2018-19,15,NYK,Kristaps Porzingis
2018-19,16,LAL,Lonzo Ball
2018-19,17,PHX,Devin Booker
2018-19,18,HOU,Chris Paul
2018-19,19,GSW,Draymond Green
2018-19,20,DAL,Luka Doncic
2018-19,21,CLE,Kevin Love
2018-19,22,POR,Damian Lillard
2018-19,23,UTA,Donovan Mitchell
2018-19,24,NOP,Anthony Davis
2018-19,25,DAL,Dirk Nowitzki
2018-19,26,IND,Victor Oladipo
2018-19,27,WAS,John Wall
2018-19,28,CLE,Collin Sexton
2018-19,29,NYK,Kevin Knox
2018-19,30,ATL,Trae Young
2018-19,31,MIN,Jimmy Butler
2018-19,32,SAS,Manu Ginobili
2018-19,33,GSW,Andre Iguodala
2018-19,34,DEN,Nikola Jokic
2018-19,35,CHI,Zach LaVine
2018-19,36,MIN,Derrick Rose
2018-19,37,CHA,Kemba Walker
2018-19,38,LAL,Brandon Ingram
2018-19,39,MIN,Karl-Anthony Towns
2018-19,40,SAS,LaMarcus Aldridge
2018-19,41,BOS,Gordon Hayward
2018-19,42,CHI,Lauri Markkanen
2018-19,43,LAC,Lou Williams
2018-19,44,DEN,Michael Porter Jr.
2018-19,45,SAC,Marvin Bagley III
2018-19,46,BOS,Jaylen Brown
2018-19,47,NYK,Frank Ntilikina
2018-19,48,PHX,Deandre Ayton
2018-19,49,SAC,DeAaron Fox
2018-19,50,LAL,Kyle Kuzma
2017-18,1,GSW,Stephen Curry
2017-18,2,CLE,Lebron James
2017-18,3,GSW,Kevin Durant
2017-18,4,BOS,Kyrie Irving
2017-18,5,MIL,Giannis Antetokounmpo
2017-18,6,PHI,Ben Simmons
2017-18,7,HOU,James Harden
2017-18,8,OKC,Russell Westbrook
2017-18,9,PHI,Joel Embiid
2017-18,10,NYK,Kristaps Porzingis
2017-18,11,SAS,Kawhi Leonard
2017-18,12,LAL,Lonzo Ball
2017-18,13,GSW,Klay Thompson
2017-18,14,POR,Damian Lillard
2017-18,15,TOR,Demar Derozan
2017-18,16,BOS,Jayson Tatum
2017-18,17,MIN,Jimmy Butler
2017-18,18,MIN,Karl-Anthony Towns
2017-18,19,GSW,Draymond Green
2017-18,20,WAS,John Wall
2017-18,21,PHX,Devin Booker
2017-18,22,LAL,Brandon Ingram
2017-18,23,NOP,Anthony Davis
2017-18,24,CLE,Dwyane Wade
2017-18,25,LAC,Blake Griffin
2017-18,26,CHA,Kemba Walker
2017-18,27,DAL,Dirk Nowitzki
2017-18,28,HOU,Chris Paul
2017-18,29,MIN,Andrew Wiggins
2017-18,30,OKC,Carmelo Anthony
2017-18,31,CLE,Derrick Rose
2017-18,32,SAS,Manu Ginobili
2017-18,33,IND,Victor Oladipo
2017-18,34,OKC,Paul George
